mode,method,strategy,seed,cases_admitted,cases_completed,cases_incomplete,completion_rate,cases_deadlocked,cases_cyclic,cases_censored,final_marking_rate,n_events,tasks_assigned,cycle_time_mean_s,cycle_time_median_s,waiting_time_mean_s,waiting_time_median_s,throughput_cases_per_hour,resource_occupation_mean,resource_fairness_gini,weighted_resource_fairness,resource_overlap_violations,permission_violations,allocation_decisions,allocation_failures,simulation_runtime_seconds,processing_time_mean_s,exact_transition_fires,legacy_label_fires,ambiguous_legacy_label_rejections,branch_invalid_predictions_rejected,branch_predictions,reservation_decisions,reservations_created,resources_allocated,resources_released,event_log_path
fixed_replay,Kunkler,Kunkler-Rinderle-Ma,2,76,75,1,0.986842105263158,0,0,1,0.986842105263158,2332,2321.0,56133.20936000001,26374.855,1481.4567746999076,0.0,0.0512295081967213,0.0030746234766675,0.4619314121396947,0.0056051759846755,0,0,1083.0,166.0,7.973766125000111,,,,,,,,,,,
fixed_replay,Kunkler,Kunkler-Rinderle-Ma,3,76,76,0,1.0,0,0,0,1.0,2358,2347.0,54889.50338157894,19297.4225,1570.936366820276,0.0,0.0519125683060109,0.0026161301542728,0.4793787762717135,0.0050580880648333,0,0,1085.0,188.0,7.923365916998591,,,,,,,,,,,
fixed_replay,Kunkler,Kunkler-Rinderle-Ma,4,76,76,0,1.0,0,0,0,1.0,2325,2314.0,117005.44742105264,22777.6305,1558.6343271889402,0.0,0.0519125683060109,0.0029095905036282,0.4747181313765877,0.0056028871853146,0,0,1085.0,155.0,6.935360417002812,,,,,,,,,,,
fixed_replay,Kunkler,Kunkler-Rinderle-Ma,5,76,76,0,1.0,0,0,0,1.0,2332,2321.0,126195.74163157892,30375.1385,1351.9974294930876,0.0,0.0519125683060109,0.0027169701003086,0.5128526752146826,0.0052254410463353,0,0,1085.0,162.0,7.714196125001763,,,,,,,,,,,
fixed_replay,Batch Allocation,Batch,1,76,76,0,1.0,0,0,0,1.0,2340,2329.0,107706.0742105263,48121.57,1726.1678470046083,0.0,0.0519125683060109,0.0030265599352532,0.4807623381673714,0.0056910802221191,0,0,1085.0,170.0,8.007488333001675,,,,,,,,,,,
fixed_replay,Batch Allocation,Batch,2,76,75,1,0.986842105263158,0,0,1,0.986842105263158,2336,2325.0,73748.39663999999,49871.397,1718.072025,0.0,0.0512295081967213,0.0029229032884084,0.4781901539848859,0.0054029039546023,0,0,1080.0,176.0,8.541847083000903,,,,,,,,,,,
fixed_replay,Batch Allocation,Batch,3,76,76,0,1.0,0,0,0,1.0,2318,2307.0,61906.01640789473,17756.6885,1303.8882838709676,0.0,0.0519125683060109,0.0028624159227592,0.4815692945973385,0.0053144583035601,0,0,1085.0,148.0,7.602411375002703,,,,,,,,,,,
fixed_replay,Batch Allocation,Batch,4,76,76,0,1.0,0,0,0,1.0,2327,2316.0,63033.70673684211,52500.7485,1860.9613308755763,0.0,0.0519125683060109,0.002754106863331,0.5073477830718597,0.0056046469654361,0,0,1085.0,157.0,8.437079040999379,,,,,,,,,,,
fixed_replay,Batch Allocation,Batch,5,76,76,0,1.0,0,0,0,1.0,2324,2313.0,51877.07872368421,37422.911,1583.9394313364053,0.0,0.0519125683060109,0.0025677032933932,0.5078887167075377,0.0051826416063891,0,0,1085.0,154.0,7.821061958002247,,,,,,,,,,,
generative,R-RRA / RoundRobin,round_robin,1,33,22,11,0.6666666666666666,0,0,11,0.6666666666666666,930,,15734.236698939394,14441.213,6422.9747903571415,,,,,,0,0,,,0.29,796.6743194748359,457.0,0.0,0.0,0.0,435.0,0.0,0.0,459.0,457.0,joao/results/final_all_methods_20260715/generative/smoke/round_robin_seed1_event_log.csv
generative,R-SHQ / ShortestQueue,shortest_queue,1,33,28,5,0.8484848484848485,0,0,5,0.8484848484848485,1029,,15804.384491757577,13730.524104,1733.4629142222223,,,,,,0,0,,,0.273,839.5766640471513,509.0,0.0,0.0,0.0,481.0,0.0,0.0,511.0,509.0,joao/results/final_all_methods_20260715/generative/smoke/shortest_queue_seed1_event_log.csv
generative,ParkSong-Composite,parksong_composite,1,33,23,10,0.696969696969697,0,0,10,0.696969696969697,1051,,13736.842657242421,10670.975104,234.76817305625,,,,,,0,0,,,0.391,767.0966216216217,444.0,0.0,0.0,0.0,421.0,374.0,374.0,447.0,444.0,joao/results/final_all_methods_20260715/generative/smoke/parksong_composite_seed1_event_log.csv
generative,Kunkler,kunkler,1,33,25,8,0.7575757575757576,0,0,8,0.7575757575757576,1021,,14290.442814454545,11133.06,804.9327877,,,,,,0,0,,,0.284,787.0302673267328,505.0,0.0,0.0,0.0,480.0,0.0,0.0,506.0,505.0,joao/results/final_all_methods_20260715/generative/smoke/kunkler_seed1_event_log.csv
generative,Batch Allocation,batch,1,33,27,6,0.8181818181818182,0,0,6,0.8181818181818182,893,,13336.37152512121,11098.28274,1659.8595921111112,,,,,,0,0,,,0.245,760.1686063348416,442.0,0.0,0.0,0.0,415.0,0.0,0.0,442.0,442.0,joao/results/final_all_methods_20260715/generative/smoke/batch_seed1_event_log.csv
