horizon_normalized_resource_occupation_mean,resource_occupation_mean,horizon_normalized_resource_occupation_median,resource_occupation_median,resource_fairness_gini,weighted_resource_fairness,weighted_resource_fairness_status,weighted_fairness_resource_count,strategy,seed
0.001654442200104,0.001654442200104,0.0014523743928354,0.0014523743928354,0.4574325003036444,0.0035766958312658,computed,149,RoundRobin,1
0.0017313368675855,0.0017313368675855,0.0012646466112629,0.0012646466112629,0.4960241893508721,0.0040616757433951,computed,149,RoundRobin,2
0.001693458334495,0.001693458334495,0.0013017592592592,0.0013017592592592,0.4849333263814394,0.0037750851778472,computed,149,RoundRobin,3
0.001554311197701,0.001554311197701,0.0011068619080145,0.0011068619080145,0.482524899734449,0.0035161659563946,computed,149,RoundRobin,4
0.0039761905831554,0.0039761905831554,0.0015284684274438,0.0015284684274438,0.7426729597879518,0.0114038372876738,computed,149,RoundRobin,5
0.0015841377391736,0.0015841377391736,0.0015780682680631,0.0015780682680631,0.4246641981885411,0.0032892150161066,computed,149,ShortestQueue,1
0.0014797125538592,0.0014797125538592,0.0013741276753187,0.0013741276753187,0.4330070910346293,0.0031367754770539,computed,149,ShortestQueue,2
0.0013374544456908,0.0013374544456908,0.0011988095780206,0.0011988095780206,0.4921909609279447,0.0031926046892269,computed,149,ShortestQueue,3
0.0013803152598388,0.0013803152598388,0.0012396508803885,0.0012396508803885,0.4904653552156231,0.0032608357169895,computed,149,ShortestQueue,4
0.0012973541482677,0.0012973541482677,0.0012195038327261,0.0012195038327261,0.5285263028087807,0.0033009419162447,computed,149,ShortestQueue,5
0.0018480926639509,0.0018480926639509,0.0010006322100789,0.0010006322100789,0.5377030299605761,0.0047788320169436,computed,149,ParkSong-Composite,1
0.0017850408947925,0.0017850408947925,0.0011938011346387,0.0011938011346387,0.5216415023634933,0.0042164329494805,computed,149,ParkSong-Composite,2
0.0015169908885181,0.0015169908885181,0.0010100940156344,0.0010100940156344,0.5084945613847479,0.0037077104753625,computed,149,ParkSong-Composite,3
0.0020467276835407,0.0020467276835407,0.0011842632437765,0.0011842632437765,0.5360882429740832,0.0048602989328654,computed,149,ParkSong-Composite,4
0.001784740309993,0.001784740309993,0.0010502477990285,0.0010502477990285,0.5379264762084048,0.0046351667030894,computed,149,ParkSong-Composite,5
0.0026663646828025,0.0026663646828025,0.0021297144429265,0.0021297144429265,0.5172697046677879,0.0055720267938027,computed,149,Kunkler-Rinderle-Ma,1
0.0030746234766675,0.0030746234766675,0.0021736659456587,0.0021736659456587,0.4619314121396947,0.0056051759846755,computed,149,Kunkler-Rinderle-Ma,2
0.0026107305098977,0.0026107305098977,0.0018377764496053,0.0018377764496053,0.4813306864278752,0.0050571681286576,computed,149,Kunkler-Rinderle-Ma,3
0.0029095905036282,0.0029095905036282,0.0020887259031572,0.0020887259031572,0.4747181313765877,0.0056028871853146,computed,149,Kunkler-Rinderle-Ma,4
0.0027169701003086,0.0027169701003086,0.0018056027056769,0.0018056027056769,0.5128526752146826,0.0052254410463353,computed,149,Kunkler-Rinderle-Ma,5
0.0030265599352532,0.0030265599352532,0.0021208585686095,0.0021208585686095,0.4807623381673714,0.0056910802221191,computed,149,Batch,1
0.0029229032884084,0.0029229032884084,0.0021104916135397,0.0021104916135397,0.4781901539848859,0.0054029039546023,computed,149,Batch,2
0.0028624159227592,0.0028624159227592,0.0019528375455373,0.0019528375455373,0.4815692945973385,0.0053144583035601,computed,149,Batch,3
0.002754106863331,0.002754106863331,0.0021706308819064,0.0021706308819064,0.5073477830718597,0.0056046469654361,computed,149,Batch,4
0.0025677032933932,0.0025677032933932,0.0018129709319975,0.0018129709319975,0.5078887167075377,0.0051826416063891,computed,149,Batch,5
