strategy,old_fixed_route_completion_rate_mean,corrected_fixed_route_completion_rate_mean,delta_fixed_route_completion_rate_mean,pct_delta_fixed_route_completion_rate_mean,old_cycle_time_mean_s_mean,corrected_cycle_time_mean_s_mean,delta_cycle_time_mean_s_mean,pct_delta_cycle_time_mean_s_mean,old_waiting_time_mean_s_mean,corrected_waiting_time_mean_s_mean,delta_waiting_time_mean_s_mean,pct_delta_waiting_time_mean_s_mean,old_resource_fairness_gini_mean,corrected_resource_fairness_gini_mean,delta_resource_fairness_gini_mean,pct_delta_resource_fairness_gini_mean,old_weighted_resource_fairness_mean,corrected_weighted_resource_fairness_mean,delta_weighted_resource_fairness_mean,pct_delta_weighted_resource_fairness_mean,old_horizon_normalized_throughput_cases_per_hour_mean,corrected_horizon_normalized_throughput_cases_per_hour_mean,delta_horizon_normalized_throughput_cases_per_hour_mean,pct_delta_horizon_normalized_throughput_cases_per_hour_mean
Batch,0.9973684210526316,0.9973684210526316,0.0,0.0,71654.25454378946,71654.25454378947,1.4551915228366852e-11,2.0308515273819315e-16,1638.6057836175114,1638.6057836175114,0.0,0.0,0.4911516573057986,0.4911516573057986,0.0,0.0,0.0054391462104213,0.0054391462104213,0.0,0.0,0.0517759562841529,0.0517759562841529,0.0,0.0
Kunkler-Rinderle-Ma,1.0,0.9973684210526316,-0.0026315789473684292,-0.0026315789473684292,109974.81193947369,102065.26544042106,-7909.546499052623,-0.07192143691417052,1662.303049953917,1642.174206184221,-20.128843769696005,-0.01210900970809987,0.4890597516522669,0.4907081629174271,0.0016484112651601879,0.0033705723269827517,0.005426739972307,0.0053974333765383,-2.9306595768700643e-05,-0.0054004053848634844,0.0519125683060108,0.0517759562841529,-0.00013661202185789867,-0.002631578947367949
ParkSong-Composite,0.9289473684210529,0.9973684210526316,0.06842105263157872,0.07365439093484392,87385.57447838073,93346.7780823827,5961.203604001974,0.06821725026796935,2778.7724687273417,2875.3807781028886,96.60830937554692,0.03476654186796116,0.5163757673017486,0.5165571000343472,0.0001813327325985714,0.00035116429561770675,0.004084277618845,0.0043577546867094,0.00027347706786440013,0.06695849141169233,0.0482240437158469,0.0517759562841529,0.0035519125683060038,0.07365439093484419
RoundRobin,0.9973684210526316,0.9973684210526316,0.0,0.0,85834.09570684211,77197.10816807018,-8636.987538771937,-0.10062420379275289,1664.2210461164796,1559.589417775633,-104.63162834084665,-0.06287123251145535,0.5195864312915688,0.5710467522111187,0.051460320919549885,0.09904092528288647,0.005003285429206,0.0064662431907311,0.0014629577615251,0.2923994207856466,0.0517759562841529,0.0517759562841529,0.0,0.0
ShortestQueue,0.9973684210526316,0.9973684210526316,0.0,0.0,65184.340367578945,65184.340367578945,0.0,0.0,1677.3302863439578,1677.3302863439578,0.0,0.0,0.4737707816351038,0.4737707816351038,0.0,0.0,0.0032360745631243,0.0032360745631243,0.0,0.0,0.0517759562841529,0.0517759562841529,0.0,0.0
