fixed_route_historical_arrivals_scheduled,fixed_route_cases_admitted,immediate_allocation_calls,global_strategy_calls,waiting_tasks_seen,waiting_queue_size_sum,waiting_queue_size_samples,max_queue_size,active_prediction_count_sum,active_reservation_count_sum,allocation_call_samples,resource_build_calls,permission_cache_misses,resource_objects_created,_build_resources_calls,_build_resources_time_seconds,task_cache_misses,task_cache_created,task_cache_max_size,_build_tasks_calls,_build_tasks_time_seconds,tasks_converted_sum,resources_converted_sum,park_song_predictions_consumed,park_song_prediction_reuse_count,allocation_strategy_calls,allocation_strategy_time_seconds,strategy_assignments,resources_allocated,_allocate_enabled_events_calls,_allocate_enabled_events_time_seconds,visible_activity_processing_starts,processing_time_resampling_attempts,processing_time_global_fallback_hits,processing_time_source_activity_A_Create_Application_global_fallback,final_positive_duration_count,task_cache_removed,permission_cache_hits,resources_released,branch_predictions,branch_prediction_calls,branch_prediction_time_seconds,processing_time_source_activity_A_Submitted_global_fallback,unique_predictions_executed,branch_predictions_executed,prediction_execution_matches,processing_time_source_activity_A_Concept_global_fallback,prediction_execution_mismatches,reservation_decisions,reservations_created,reservations_cancelled,processing_time_source_activity_A_Accepted_global_fallback,processing_time_source_activity_O_Create_Offer_global_fallback,processing_time_source_activity_O_Created_global_fallback,processing_time_source_activity_O_Sent__mail_and_online_global_fallback,processing_time_model_hits,processing_time_source_activity_W_Complete_application_exact_model,fixed_route_bpmn_fire_failures,processing_time_source_activity_A_Complete_global_fallback,processing_time_source_activity_O_Cancelled_global_fallback,processing_time_source_activity_A_Cancelled_global_fallback,fixed_route_cases_completed,suspended_events,waiting_retry_no_future_availability,waiting_retry_after_resource_release,task_cache_hits,reservations_used,processing_time_source_activity_W_Handle_leads_exact_model,processing_time_source_activity_A_Validating_global_fallback,processing_time_source_activity_O_Returned_global_fallback,fixed_route_prediction_global_candidate_fallbacks,processing_time_activity_fallback_hits,processing_time_source_activity_W_Call_after_offers_learned_activity_fallback,reservations_expired,processing_time_source_activity_A_Incomplete_global_fallback,waiting_retry_events_scheduled,waiting_retry_scheduled_reason_allocation_failure,waiting_retry_duplicate_suppressed,processing_time_source_activity_O_Accepted_global_fallback,waiting_retry_scheduled_reason_post_retry_unassigned,waiting_retry_events_processed,processing_time_source_activity_W_Validate_application_exact_model,processing_time_source_activity_A_Pending_global_fallback,processing_time_source_activity_W_Validate_application_learned_activity_fallback,processing_time_source_activity_O_Sent__online_only_global_fallback,processing_time_source_activity_W_Complete_application_learned_activity_fallback,processing_time_source_activity_A_Denied_global_fallback,processing_time_source_activity_O_Refused_global_fallback,processing_time_source_activity_W_Call_incomplete_files_learned_activity_fallback,processing_time_source_activity_W_Call_incomplete_files_exact_model,processing_time_source_activity_W_Call_after_offers_exact_model,processing_time_source_activity_W_Assess_potential_fraud_learned_activity_fallback,reservations_active_after_cleanup,cases_censored,branch_prediction_source_CompositeBranchingEngine,branch_prediction_source_BPMNDeterministic,diagnostic_cycle_guard_enabled,cycle_repetition_limit,cycle_repetition_limit_hits,cycle_candidate_filtered,cycle_guard_filter_events,empirical_successor_candidates_filtered,empirical_successor_filter_events,fixed_route_no_route_available,fixed_route_arrivals_skipped_after_routes_exhausted,waiting_retry_after_reservation_change,event_queue_empty_with_waiting_tasks,feasible_waiting_tasks_at_drain_end,infeasible_waiting_tasks_at_drain_end,duplicate_assignment_errors,reservations_overwritten,reservations_rejected_existing_kept,reservations_unresolved_at_horizon,stale_predictions,unresolved_reservations,unresolved_predictions,global_assignment_calls,global_assignment_resources_total,global_assignment_candidates_total,global_assignment_feasible_pairs_total,temporal_lookahead_penalties,reservation_margin_filtered,unequal_resource_load_comparisons,equal_resource_load_ties,resource_load_unequal_decisions,resource_load_tie_break_decisions,resource_load_assignment_decisions,processing_time_empirical_activity_fallback_hits,processing_time_category_fallback_hits,processing_time_emergency_guard_hits,processing_time_missing_model_count,processing_time_invalid_value_count,processing_time_cached_duration_uses,processing_model_loaded,processing_model_retrained,processing_model_load_error,processing_model_artifact_path,minimum_visible_duration_applications,zero_duration_silent_transitions,final_zero_visible_duration_count,minimum_visible_duration_application_rate,processing_time_data_backed_coverage_rate,processing_time_exact_model_coverage_rate,processing_time_any_non_emergency_coverage_rate,final_processing_duration_min,final_processing_duration_median,final_processing_duration_mean,final_processing_duration_max,waiting_queue_size_mean,tasks_converted_per_call_mean,resources_converted_per_call_mean,active_prediction_count_mean,reservation_count_mean,strategy,seed,events_processed,drain_until,diagnostic_cycle_guard,engine_initialization_seconds,simulation_runtime_seconds
76,76,897,1841,16204,16204,1841,38,10005,57710,1841,1841,24,19082,1841,0.0283611250160902,897,897,38,1841,0.0076660879913106,16204,19082,1009,8996,1841,0.1936376930098049,1085,1085,1841,0.2475027650089032,1085,1086,987,76,1085,897,61094,1085,1009,1009,3.338892578982268,47,1009,1009,510,76,499,715,715,420,76,96,96,90,71,38,315,76,47,31,76,579,154,816,15307,188,10,81,51,8,27,1,107,47,128,10,1232,35,118,128,18,35,11,3,13,10,14,1.0,3,2,1,0,0,565,444,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,19082,19819,43658,19800,87842,0,0,0,0,0,0,0,0,0,0,0,1,0,,joao/models/process_time/final_process_time_coverage_v2.pkl,0,0,0,0.0,0.0903225806451612,0.0654377880184331,1.0,2.0,592.604,815.0168847926267,5517.717,8.801738185768604,8.801738185768604,10.365019011406844,5.434546442151005,31.347093970668116,ParkSong-Composite,2,2749,2016-11-16T15:07:00+00:00,0,17.141366250001738,28.24226574999921
76,76,853,2056,15566,15566,2056,38,15029,97891,2056,2056,24,9230,2056,0.0256670349590422,853,853,38,2056,0.0075731179695139,15566,9230,1009,14020,2056,0.1094945640506921,1085,1085,2056,0.1629656580462324,1085,1087,987,76,1085,853,60627,1085,1009,1009,3.3936314119746385,47,1009,1009,511,76,498,963,963,541,76,96,96,90,69,45,315,76,47,31,76,683,264,1018,14713,232,10,81,51,8,29,2,190,47,185,30,1433,35,155,185,10,35,19,3,6,10,14,1.0,3,1,1,0,0,565,444,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1298,9230,22160,29838,10105,10879,0,0,0,0,0,0,0,0,0,0,0,1,0,,joao/models/process_time/final_process_time_coverage_v2.pkl,0,0,0,0.0,0.0903225806451612,0.0635944700460829,1.0,2.842,618.475,838.3224414746544,6875.0,7.571011673151751,7.571011673151751,4.489299610894942,7.309824902723736,47.61235408560312,ParkSong-Composite,4,2853,2016-11-16T15:07:00+00:00,0,17.07854687500003,27.78161100000034
76,76,846,1892,19297,19297,1892,40,8930,71292,1892,1892,24,15158,1892,0.0258280789894342,846,846,40,1892,0.0085053919738129,19297,15158,1009,7921,1892,0.1420041430192213,1085,1085,1892,0.1948254640483355,1085,1086,987,76,1085,846,68042,1085,1009,1009,3.376738853947245,47,1009,1009,501,76,508,723,723,383,76,96,96,90,70,35,315,76,47,31,76,610,191,901,18451,239,10,81,51,8,28,1,101,47,145,14,1312,35,131,145,19,35,10,3,16,10,14,,4,2,1,0,0,565,444,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1210,15158,21825,34303,14621,61554,0,0,0,0,0,0,0,0,0,0,0,1,0,,joao/models/process_time/final_process_time_coverage_v2.pkl,0,0,0,0.0,0.0903225806451612,0.064516129032258,1.0,1.0,581.018,815.5343032258064,12976.0,10.199260042283298,10.199260042283298,8.011627906976743,4.719873150105708,37.68076109936575,ParkSong-Composite,5,2780,2016-11-16T15:07:00+00:00,0,17.118271291999918,26.586611249998896
