Method,Fixed-route completion,Mean cycle time,Mean waiting time,Horizon-normalized throughput,Horizon-normalized occupation,Fairness,Weighted fairness
Batch,0.9973684210526315,71654.25454378947,1638.6057836175114,0.05177595628415298,0.002826737860629,0.4911516573057986,0.005439146210421341
Kunkler-Rinderle-Ma,0.9973684210526315,102065.26544042106,1642.174206184221,0.05177595628415298,0.0027889473418771004,0.49070816291742714,0.0053974333765383
ParkSong-Composite,0.9973684210526315,93346.7780823827,2875.3807781028886,0.05177595628415298,0.00180088636143366,0.5165571000343472,0.0043577546867094395
RoundRobin,0.9973684210526315,77197.10816807018,1559.589417775633,0.05177595628415298,0.0024806656460303203,0.5710467522111187,0.00646624319073114
ShortestQueue,0.9973684210526315,65184.340367578945,1677.3302863439578,0.05177595628415298,0.00141579482936602,0.4737707816351038,0.00323607456312432
