method,accuracy,macro_f1,weighted_f1,fallback_rate
MajorityBaseline,0.8384549940445806,0.6098422068954134,0.8221503885435002,0.0
RandomCandidateBaseline,0.4348477114173898,0.30463872042783624,0.5365293290149352,0.0
ProbabilityBranching,0.7785264590777607,0.5147063802665626,0.7786382946635285,0.0
PredictiveML-Raw,0.935341160456015,0.7072685922731817,0.9358073315573657,0.0
PredictiveML-BPMNConstrained,0.935341160456015,0.7072685922731817,0.9358073315573657,0.0
CompositeRuntime,0.935341160456015,0.7072685922731817,0.9358073315573657,0.0
