method,accuracy_mean,accuracy_std,accuracy_ci95_low,accuracy_ci95_high,macro_f1_mean,weighted_f1_mean,fallback_rate_mean,n_samples
AttributeBased,,,,,,,1.0,29385
AttributeSampling,0.7767976858941636,0.0017890387783050354,0.7745763008517519,0.7790190709365754,0.5161117763289832,0.7768320839941594,0.0,29385
CompositeRuntime,0.8142249446996767,,,,0.663018226280457,0.8390854793575295,0.0,29385
MajorityBaseline,0.8384549940445806,,,,0.6098422068954134,0.8221503885435002,0.0,29385
PredictiveML-BPMNConstrained,0.8142249446996767,,,,0.663018226280457,0.8390854793575295,0.0,29385
PredictiveML-Raw,0.8142249446996767,,,,0.663018226280457,0.8390854793575295,0.0,29385
ProbabilityBranching,0.7767976858941636,0.0017890387783050354,0.7745763008517519,0.7790190709365754,0.5161117763289832,0.7768320839941594,0.0,29385
RandomCandidateBaseline,0.4344121150246725,0.002090399138962259,0.4318165416719469,0.43700768837739806,0.3053603736835018,0.5371688510004187,0.0,29385
