horizon_normalized_resource_occupation_mean,resource_occupation_mean,horizon_normalized_resource_occupation_median,resource_occupation_median,resource_fairness_gini,weighted_resource_fairness,weighted_resource_fairness_status,weighted_fairness_resource_count,strategy,seed
0.0016495740270042,0.0016495740270042,0.0014051755085003,0.0014051755085003,0.4912585228459818,0.0037864428253862,computed,149,RoundRobin,1
0.0032923191988784,0.0032923191988784,0.0013241350751366,0.0013241350751366,0.7134084179178543,0.009768424620453,computed,149,RoundRobin,2
0.0019309332234126,0.0019309332234126,0.0014713190649666,0.0014713190649666,0.4253689607693565,0.0038563452637481,computed,149,RoundRobin,3
0.001554311197701,0.001554311197701,0.0011068619080145,0.0011068619080145,0.482524899734449,0.0035161659563946,computed,149,RoundRobin,4
0.0039761905831554,0.0039761905831554,0.0015284684274438,0.0015284684274438,0.7426729597879518,0.0114038372876738,computed,149,RoundRobin,5
0.0015841377391736,0.0015841377391736,0.0015780682680631,0.0015780682680631,0.4246641981885411,0.0032892150161066,computed,149,ShortestQueue,1
0.0014797125538592,0.0014797125538592,0.0013741276753187,0.0013741276753187,0.4330070910346293,0.0031367754770539,computed,149,ShortestQueue,2
0.0013374544456908,0.0013374544456908,0.0011988095780206,0.0011988095780206,0.4921909609279447,0.0031926046892269,computed,149,ShortestQueue,3
0.0013803152598388,0.0013803152598388,0.0012396508803885,0.0012396508803885,0.4904653552156231,0.0032608357169895,computed,149,ShortestQueue,4
0.0012973541482677,0.0012973541482677,0.0012195038327261,0.0012195038327261,0.5285263028087807,0.0033009419162447,computed,149,ShortestQueue,5
0.0018855629512929,0.0018855629512929,0.0012540213266545,0.0012540213266545,0.5170989719584838,0.004528002208229,computed,149,ParkSong-Composite,1
0.0018431531003339,0.0018431531003339,0.0012987410822707,0.0012987410822707,0.5107035809291827,0.0043462201007241,computed,149,ParkSong-Composite,2
0.0016887296232511,0.0016887296232511,0.0009630875265634,0.0009630875265634,0.5010439221781638,0.0041099679940833,computed,149,ParkSong-Composite,3
0.0018884789497043,0.0018884789497043,0.0012483643556466,0.0012483643556466,0.5173539024303967,0.0045264426770935,computed,149,ParkSong-Composite,4
0.0016985071825861,0.0016985071825861,0.00112705231102,0.00112705231102,0.536585122675509,0.0042781404534173,computed,149,ParkSong-Composite,5
0.0026663646828025,0.0026663646828025,0.0021297144429265,0.0021297144429265,0.5172697046677879,0.0055720267938027,computed,149,Kunkler-Rinderle-Ma,1
0.0030746234766675,0.0030746234766675,0.0021736659456587,0.0021736659456587,0.4619314121396947,0.0056051759846755,computed,149,Kunkler-Rinderle-Ma,2
0.0026159145927901,0.0026159145927901,0.0017710864450516,0.0017710864450516,0.4865171469658488,0.0050510131556403,computed,149,Kunkler-Rinderle-Ma,3
0.0028708638568168,0.0028708638568168,0.0020550571114146,0.0020550571114146,0.474969875599122,0.0055335099022377,computed,149,Kunkler-Rinderle-Ma,4
0.0027169701003086,0.0027169701003086,0.0018056027056769,0.0018056027056769,0.5128526752146826,0.0052254410463353,computed,149,Kunkler-Rinderle-Ma,5
0.0030265599352532,0.0030265599352532,0.0021208585686095,0.0021208585686095,0.4807623381673714,0.0056910802221191,computed,149,Batch,1
0.0029229032884084,0.0029229032884084,0.0021104916135397,0.0021104916135397,0.4781901539848859,0.0054029039546023,computed,149,Batch,2
0.0028624159227592,0.0028624159227592,0.0019528375455373,0.0019528375455373,0.4815692945973385,0.0053144583035601,computed,149,Batch,3
0.002754106863331,0.002754106863331,0.0021706308819064,0.0021706308819064,0.5073477830718597,0.0056046469654361,computed,149,Batch,4
0.0025677032933932,0.0025677032933932,0.0018129709319975,0.0018129709319975,0.5078887167075377,0.0051826416063891,computed,149,Batch,5
