fixed_route_historical_arrivals_scheduled,fixed_route_cases_admitted,immediate_allocation_calls,global_strategy_calls,waiting_tasks_seen,waiting_queue_size_sum,waiting_queue_size_samples,max_queue_size,active_prediction_count_sum,active_reservation_count_sum,allocation_call_samples,resource_build_calls,permission_cache_misses,resource_objects_created,_build_resources_calls,_build_resources_time_seconds,task_cache_misses,task_cache_created,task_cache_max_size,_build_tasks_calls,_build_tasks_time_seconds,tasks_converted_sum,resources_converted_sum,park_song_predictions_consumed,park_song_prediction_reuse_count,allocation_strategy_calls,allocation_strategy_time_seconds,strategy_assignments,resources_allocated,_allocate_enabled_events_calls,_allocate_enabled_events_time_seconds,visible_activity_processing_starts,processing_time_resampling_attempts,processing_time_global_fallback_hits,processing_time_source_activity_A_Create_Application_global_fallback,final_positive_duration_count,task_cache_removed,resources_released,branch_predictions,branch_prediction_calls,branch_prediction_time_seconds,processing_time_source_activity_A_Submitted_global_fallback,unique_predictions_executed,branch_predictions_executed,prediction_execution_matches,permission_cache_hits,reservation_decisions,reservations_created,reservations_cancelled,processing_time_source_activity_A_Concept_global_fallback,prediction_execution_mismatches,processing_time_source_activity_A_Accepted_global_fallback,processing_time_source_activity_O_Create_Offer_global_fallback,processing_time_source_activity_O_Created_global_fallback,suspended_events,waiting_retry_no_future_availability,waiting_retry_after_resource_release,task_cache_hits,processing_time_source_activity_O_Cancelled_global_fallback,fixed_route_bpmn_fire_failures,reservations_used,processing_time_source_activity_O_Sent__mail_and_online_global_fallback,processing_time_model_hits,processing_time_source_activity_W_Complete_application_exact_model,processing_time_source_activity_A_Complete_global_fallback,processing_time_source_activity_A_Validating_global_fallback,waiting_retry_events_scheduled,waiting_retry_scheduled_reason_allocation_failure,waiting_retry_duplicate_suppressed,processing_time_source_activity_O_Returned_global_fallback,reservations_expired,waiting_retry_events_processed,processing_time_source_activity_A_Incomplete_global_fallback,processing_time_source_activity_A_Cancelled_global_fallback,processing_time_source_activity_O_Accepted_global_fallback,fixed_route_prediction_global_candidate_fallbacks,processing_time_source_activity_W_Call_after_offers_exact_model,fixed_route_cases_completed,processing_time_source_activity_A_Pending_global_fallback,processing_time_activity_fallback_hits,processing_time_source_activity_W_Complete_application_learned_activity_fallback,processing_time_source_activity_W_Validate_application_learned_activity_fallback,waiting_retry_scheduled_reason_post_retry_unassigned,processing_time_source_activity_W_Handle_leads_exact_model,processing_time_source_activity_A_Denied_global_fallback,processing_time_source_activity_O_Refused_global_fallback,processing_time_source_activity_O_Sent__online_only_global_fallback,processing_time_source_activity_W_Validate_application_exact_model,processing_time_source_activity_W_Handle_leads_learned_activity_fallback,processing_time_source_activity_W_Call_incomplete_files_exact_model,processing_time_source_activity_W_Call_after_offers_learned_activity_fallback,processing_time_source_activity_W_Assess_potential_fraud_learned_activity_fallback,reservations_active_after_cleanup,cases_censored,branch_prediction_source_CompositeBranchingEngine,branch_prediction_source_BPMNDeterministic,diagnostic_cycle_guard_enabled,cycle_repetition_limit,cycle_repetition_limit_hits,cycle_candidate_filtered,cycle_guard_filter_events,empirical_successor_candidates_filtered,empirical_successor_filter_events,fixed_route_no_route_available,fixed_route_arrivals_skipped_after_routes_exhausted,waiting_retry_after_reservation_change,event_queue_empty_with_waiting_tasks,feasible_waiting_tasks_at_drain_end,infeasible_waiting_tasks_at_drain_end,duplicate_assignment_errors,reservations_overwritten,reservations_rejected_existing_kept,reservations_unresolved_at_horizon,stale_predictions,unresolved_reservations,unresolved_predictions,global_assignment_calls,global_assignment_resources_total,global_assignment_candidates_total,global_assignment_feasible_pairs_total,unequal_resource_load_comparisons,equal_resource_load_ties,resource_load_unequal_decisions,resource_load_tie_break_decisions,resource_load_assignment_decisions,processing_time_empirical_activity_fallback_hits,processing_time_category_fallback_hits,processing_time_emergency_guard_hits,processing_time_missing_model_count,processing_time_invalid_value_count,processing_time_cached_duration_uses,processing_model_loaded,processing_model_retrained,processing_model_load_error,processing_model_artifact_path,minimum_visible_duration_applications,zero_duration_silent_transitions,final_zero_visible_duration_count,minimum_visible_duration_application_rate,processing_time_data_backed_coverage_rate,processing_time_exact_model_coverage_rate,processing_time_any_non_emergency_coverage_rate,final_processing_duration_min,final_processing_duration_median,final_processing_duration_mean,final_processing_duration_max,waiting_queue_size_mean,tasks_converted_per_call_mean,resources_converted_per_call_mean,active_prediction_count_mean,reservation_count_mean,strategy,seed,events_processed,drain_until,diagnostic_cycle_guard,engine_initialization_seconds,simulation_runtime_seconds,processing_time_source_activity_W_Call_incomplete_files_learned_activity_fallback
76,76,1016,2005,10180,10180,2005,29,14254,67101,2005,2005,24,10636,2005,0.0243448870269276,1016,1016,29,2005,0.0064036860367195,10180,10636,1009,13245,2005,0.0673134439812201,1085,1085,2005,0.1153064609898137,1085,1085,987,76,1085,1016,1085,1009,1009,3.346026117999827,47,1009,1009,496,42033,464,464,252,76,513,76,96,96,790,388,965,9164,47,315,69,90,68,44,76,81,25,10,1332,51,143,25,47,31,35,8,2.0,76,35,30,7,20,15,9,10,14,3,9,1,4.0,1,1,0,0,565,444,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1136,10636,15800,30516,0,0,0,0,0,0,0,0,0,0,0,1,0,,joao/models/process_time/final_process_time_coverage_v2.pkl,0,0,0,0.0,0.0903225806451612,0.0626728110599078,1.0,2.0,593.239,842.3799152073733,7577.0,5.077306733167083,5.077306733167083,5.304738154613466,7.109226932668329,33.46683291770574,ParkSong-Composite,1,2960,2016-11-16T15:07:00+00:00,0,17.385249875000227,16.92845012500038,
76,76,1002,1877,7556,7556,1877,27,12339,65787,1877,1877,24,7688,1877,0.0218630250064961,1002,1002,27,1877,0.0054216780199567,7556,7688,1004,11335,1877,0.0476124479810096,1079,1079,1877,0.0910566660013501,1079,1079,983,76,1079,1002,1079,1004,1004,3.3473432440059696,47,1003,1003,506,31327,677,677,394,76,497,76,96,96,680,406,840,6554,47,311,77,90,50,37,76,80,36,11,1092,51,178,36,47,31,35,8,,75,35,46,14,24,25,9,9,12,3,4,1,,3,1,0,1,560,444,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,1,1133,7688,13087,29048,0,0,0,0,0,0,0,0,0,0,0,1,0,,joao/models/process_time/final_process_time_coverage_v2.pkl,0,0,0,0.0,0.0889712696941612,0.0463392029657089,1.0,2.855,588.325,1065.3843021316034,281967.0,4.025572722429408,4.025572722429408,4.095897709110282,6.573787959509856,35.04901438465637,ParkSong-Composite,2,2838,2016-11-16T15:07:00+00:00,0,17.306550291999883,15.02685058299994,3.0
