horizon_normalized_resource_occupation_mean,resource_occupation_mean,horizon_normalized_resource_occupation_median,resource_occupation_median,resource_fairness_gini,weighted_resource_fairness,weighted_resource_fairness_status,weighted_fairness_resource_count,strategy,seed
0.0018183407748937,0.0018183407748937,0.0013909607430176,0.0013909607430176,0.4564414725345815,0.0039272599504334,computed,149,RoundRobin,1
0.0032923191988784,0.0032923191988784,0.0013241350751366,0.0013241350751366,0.7134084179178543,0.009768424620453,computed,149,RoundRobin,2
0.0018380245420445,0.0018380245420445,0.0014632860883424,0.0014632860883424,0.4549711521134476,0.0039353405288836,computed,149,RoundRobin,3
0.0016337107240437,0.0016337107240437,0.0012169791666666,0.0012169791666666,0.47347676776051,0.0036449695464126,computed,149,RoundRobin,4
0.0016114322108519,0.0016114322108519,0.0012348131071645,0.0012348131071645,0.4996343461314506,0.0037404324998476,computed,149,RoundRobin,5
0.0015841377391736,0.0015841377391736,0.0015780682680631,0.0015780682680631,0.4246641981885411,0.0032892150161066,computed,149,ShortestQueue,1
0.0014797125538592,0.0014797125538592,0.0013741276753187,0.0013741276753187,0.4330070910346293,0.0031367754770539,computed,149,ShortestQueue,2
0.0013374544456908,0.0013374544456908,0.0011988095780206,0.0011988095780206,0.4921909609279447,0.0031926046892269,computed,149,ShortestQueue,3
0.0013803152598388,0.0013803152598388,0.0012396508803885,0.0012396508803885,0.4904653552156231,0.0032608357169895,computed,149,ShortestQueue,4
0.0012973541482677,0.0012973541482677,0.0012195038327261,0.0012195038327261,0.5285263028087807,0.0033009419162447,computed,149,ShortestQueue,5
0.0019027734096125,0.0019027734096125,0.0013155094489981,0.0013155094489981,0.5105868020586646,0.0044385199156272,computed,149,ParkSong-Composite,1
0.0013559380021139,0.0013559380021139,0.0008742543260473,0.0008742543260473,0.5268590585733209,0.0031268545766817,computed,149,ParkSong-Composite,2
0.0017364077594785,0.0017364077594785,0.0009180282331511,0.0009180282331511,0.5611500585882687,0.0043948258273427,computed,149,ParkSong-Composite,3
0.0018788881870589,0.0018788881870589,0.0012352197176684,0.0012352197176684,0.484298863351049,0.0043117695658293,computed,149,ParkSong-Composite,4
0.0017201957445685,0.0017201957445685,0.0010398998178506,0.0010398998178506,0.4989840539374396,0.0041494182087442,computed,149,ParkSong-Composite,5
0.0025925356458043,0.0025925356458043,0.0020869749924104,0.0020869749924104,0.5115181749541743,0.0054868551741099,computed,149,Kunkler-Rinderle-Ma,1
0.0030116121003705,0.0030116121003705,0.002203901506527,0.002203901506527,0.459842011742141,0.005639600581158,computed,149,Kunkler-Rinderle-Ma,2
0.0026600606321257,0.0026600606321257,0.0017870256527018,0.0017870256527018,0.4863677649737491,0.0051789158746174,computed,149,Kunkler-Rinderle-Ma,3
0.0029095905036282,0.0029095905036282,0.0020887259031572,0.0020887259031572,0.4747181313765877,0.0056028871853146,computed,149,Kunkler-Rinderle-Ma,4
0.0027169701003086,0.0027169701003086,0.0018056027056769,0.0018056027056769,0.5128526752146826,0.0052254410463353,computed,149,Kunkler-Rinderle-Ma,5
0.0030265599352532,0.0030265599352532,0.0021208585686095,0.0021208585686095,0.4807623381673714,0.0056910802221191,computed,149,Batch,1
0.0029229032884084,0.0029229032884084,0.0021104916135397,0.0021104916135397,0.4781901539848859,0.0054029039546023,computed,149,Batch,2
0.0028624159227592,0.0028624159227592,0.0019528375455373,0.0019528375455373,0.4815692945973385,0.0053144583035601,computed,149,Batch,3
0.002754106863331,0.002754106863331,0.0021706308819064,0.0021706308819064,0.5073477830718597,0.0056046469654361,computed,149,Batch,4
0.0025677032933932,0.0025677032933932,0.0018129709319975,0.0018129709319975,0.5078887167075377,0.0051826416063891,computed,149,Batch,5
