method,cycle_time_days,occupation,fairness_gini
random,0.3,0.514,0.562
shortest-queue,0.3,0.782,0.559
most-experienced,0.3,0.521,0.618
RL (REINFORCE),0.3,0.53,0.575
PPO (MaskablePPO),0.3,0.541,0.558
