method,cycle_time_days,occupation,fairness_gini
random,0.3,0.743,0.599
shortest-queue,0.3,0.782,0.568
most-experienced,0.3,0.604,0.596
RL (REINFORCE),0.3,0.501,0.577
PPO (MaskablePPO),0.3,0.5,0.577
