method,cycle_time_days,occupation,fairness_gini
random,0.3,0.14,0.725
shortest-queue,0.3,0.145,0.748
most-experienced,0.3,0.101,0.841
RL (REINFORCE),0.3,0.094,0.862
PPO (MaskablePPO),0.3,0.037,0.734
