method,cycle_time_days,occupation,fairness_gini
random,0.3,0.046,0.541
shortest-queue,0.3,0.1,0.702
most-experienced,0.3,0.076,0.833
RL (REINFORCE),0.2,0.086,0.827
PPO (MaskablePPO),0.3,0.22,0.824
