method,cycle_time_h,load_gini,combined
random,1.05,0.466,0.854
round-robin,1.09,0.463,0.868
shortest-queue,1.19,0.487,0.932
most-experienced,1.15,0.564,0.983
PPO (MaskablePPO),1.14,0.526,0.945
