method,cycle_time_days,occupation,fairness_gini
random,0.3,0.581,0.593
shortest-queue,0.3,0.778,0.6
most-experienced,0.3,0.531,0.621
RL (REINFORCE),0.3,0.548,0.616
PPO (MaskablePPO),0.3,0.623,0.594
