method,cycle_time_days,occupation,fairness_gini
random,0.3,0.092,0.736
shortest-queue,0.3,0.117,0.716
most-experienced,0.3,0.054,0.807
RL (REINFORCE),0.3,0.063,0.865
PPO (MaskablePPO),0.3,0.043,0.765
