method,cycle_time_days,occupation,fairness_gini
random,0.3,0.729,0.572
shortest-queue,0.3,0.787,0.586
most-experienced,0.3,0.572,0.614
RL (REINFORCE),0.3,0.628,0.636
PPO (MaskablePPO),0.3,0.675,0.569
