method,cycle_time_days,occupation,fairness_gini
random,0.3,0.731,0.619
shortest-queue,0.3,0.629,0.585
most-experienced,0.3,0.554,0.6
RL (REINFORCE),0.3,0.613,0.58
PPO (MaskablePPO),0.3,0.458,0.638
