strategy,n_events_mean,n_events_std,n_events_median,n_events_min,n_events_max,cases_admitted_mean,cases_admitted_std,cases_admitted_median,cases_admitted_min,cases_admitted_max,cases_observed_mean,cases_observed_std,cases_observed_median,cases_observed_min,cases_observed_max,fixed_routes_completed_mean,fixed_routes_completed_std,fixed_routes_completed_median,fixed_routes_completed_min,fixed_routes_completed_max,cases_completed_mean,cases_completed_std,cases_completed_median,cases_completed_min,cases_completed_max,cases_incomplete_mean,cases_incomplete_std,cases_incomplete_median,cases_incomplete_min,cases_incomplete_max,cases_deadlocked_mean,cases_deadlocked_std,cases_deadlocked_median,cases_deadlocked_min,cases_deadlocked_max,cases_cyclic_mean,cases_cyclic_std,cases_cyclic_median,cases_cyclic_min,cases_cyclic_max,cases_censored_mean,cases_censored_std,cases_censored_median,cases_censored_min,cases_censored_max,cases_active_mean,cases_active_std,cases_active_median,cases_active_min,cases_active_max,fixed_route_completion_rate_mean,fixed_route_completion_rate_std,fixed_route_completion_rate_median,fixed_route_completion_rate_min,fixed_route_completion_rate_max,completion_rate_mean,completion_rate_std,completion_rate_median,completion_rate_min,completion_rate_max,tasks_assigned_mean,tasks_assigned_std,tasks_assigned_median,tasks_assigned_min,tasks_assigned_max,cycle_time_mean_s_mean,cycle_time_mean_s_std,cycle_time_mean_s_median,cycle_time_mean_s_min,cycle_time_mean_s_max,cycle_time_median_s_mean,cycle_time_median_s_std,cycle_time_median_s_median,cycle_time_median_s_min,cycle_time_median_s_max,cycle_time_std_s_mean,cycle_time_std_s_std,cycle_time_std_s_median,cycle_time_std_s_min,cycle_time_std_s_max,cycle_time_p90_s_mean,cycle_time_p90_s_std,cycle_time_p90_s_median,cycle_time_p90_s_min,cycle_time_p90_s_max,cycle_time_p95_s_mean,cycle_time_p95_s_std,cycle_time_p95_s_median,cycle_time_p95_s_min,cycle_time_p95_s_max,waiting_time_mean_s_mean,waiting_time_mean_s_std,waiting_time_mean_s_median,waiting_time_mean_s_min,waiting_time_mean_s_max,waiting_time_median_s_mean,waiting_time_median_s_std,waiting_time_median_s_median,waiting_time_median_s_min,waiting_time_median_s_max,waiting_time_p90_s_mean,waiting_time_p90_s_std,waiting_time_p90_s_median,waiting_time_p90_s_min,waiting_time_p90_s_max,waiting_time_p95_s_mean,waiting_time_p95_s_std,waiting_time_p95_s_median,waiting_time_p95_s_min,waiting_time_p95_s_max,horizon_normalized_throughput_cases_per_hour_mean,horizon_normalized_throughput_cases_per_hour_std,horizon_normalized_throughput_cases_per_hour_median,horizon_normalized_throughput_cases_per_hour_min,horizon_normalized_throughput_cases_per_hour_max,throughput_cases_per_hour_mean,throughput_cases_per_hour_std,throughput_cases_per_hour_median,throughput_cases_per_hour_min,throughput_cases_per_hour_max,horizon_normalized_resource_occupation_mean_mean,horizon_normalized_resource_occupation_mean_std,horizon_normalized_resource_occupation_mean_median,horizon_normalized_resource_occupation_mean_min,horizon_normalized_resource_occupation_mean_max,resource_occupation_mean_mean,resource_occupation_mean_std,resource_occupation_mean_median,resource_occupation_mean_min,resource_occupation_mean_max,horizon_normalized_resource_occupation_median_mean,horizon_normalized_resource_occupation_median_std,horizon_normalized_resource_occupation_median_median,horizon_normalized_resource_occupation_median_min,horizon_normalized_resource_occupation_median_max,resource_occupation_median_mean,resource_occupation_median_std,resource_occupation_median_median,resource_occupation_median_min,resource_occupation_median_max,resource_fairness_gini_mean,resource_fairness_gini_std,resource_fairness_gini_median,resource_fairness_gini_min,resource_fairness_gini_max,weighted_resource_fairness_mean,weighted_resource_fairness_std,weighted_resource_fairness_median,weighted_resource_fairness_min,weighted_resource_fairness_max,weighted_fairness_resource_count_mean,weighted_fairness_resource_count_std,weighted_fairness_resource_count_median,weighted_fairness_resource_count_min,weighted_fairness_resource_count_max,active_cases_remaining_mean,active_cases_remaining_std,active_cases_remaining_median,active_cases_remaining_min,active_cases_remaining_max,waiting_queue_remaining_mean,waiting_queue_remaining_std,waiting_queue_remaining_median,waiting_queue_remaining_min,waiting_queue_remaining_max,drain_stopped_by_limit_mean,drain_stopped_by_limit_std,drain_stopped_by_limit_median,drain_stopped_by_limit_min,drain_stopped_by_limit_max,run_window_seconds_mean,run_window_seconds_std,run_window_seconds_median,run_window_seconds_min,run_window_seconds_max,diagnostic_cycle_guard_mean,diagnostic_cycle_guard_std,diagnostic_cycle_guard_median,diagnostic_cycle_guard_min,diagnostic_cycle_guard_max,cycle_repetition_limit_mean,cycle_repetition_limit_std,cycle_repetition_limit_median,cycle_repetition_limit_min,cycle_repetition_limit_max,engine_initialization_seconds_mean,engine_initialization_seconds_std,engine_initialization_seconds_median,engine_initialization_seconds_min,engine_initialization_seconds_max,simulation_runtime_seconds_mean,simulation_runtime_seconds_std,simulation_runtime_seconds_median,simulation_runtime_seconds_min,simulation_runtime_seconds_max,cycle_time_mean_s_ci95_half_width,waiting_time_mean_s_ci95_half_width,horizon_normalized_throughput_cases_per_hour_ci95_half_width,horizon_normalized_resource_occupation_mean_ci95_half_width,resource_fairness_gini_ci95_half_width,weighted_resource_fairness_ci95_half_width,fixed_route_completion_rate_ci95_half_width
Batch,2329.0,8.944271909999207,2327.0,2318,2340,76.0,0.0,76.0,76,76,76.0,0.0,76.0,76,76,75.8,0.44721359549995715,76.0,75,76,75.8,0.44721359549995715,76.0,75,76,0.2,0.447213595499958,0.0,0,1,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.2,0.447213595499958,0.0,0,1,0.0,0.0,0.0,0,0,0.9973684210526315,0.005884389414473109,1.0,0.986842105263158,1.0,0.9973684210526315,0.005884389414473109,1.0,0.986842105263158,1.0,2318.0,8.944271909999207,2316.0,2307,2329,71654.25454378947,21590.494477126773,63033.70673684211,51877.078723684215,107706.07421052632,41134.663,14270.967772359289,48121.57,17756.6885,52500.7485,131415.60343780578,76251.70323295206,116350.63815001828,58704.648261521244,258327.45873002443,141373.81354000006,44198.970895848324,123003.911,88477.875,193952.0385,252835.74053999997,84868.05551177265,222787.41175,191302.88275,400075.71675,1638.6057836175114,211.2156496147948,1718.072025,1303.8882838709676,1860.9613308755763,0.0,0.0,0.0,0.0,0.0,1825.5844600000012,579.7338437732336,2129.3414000000016,938.5116000000012,2298.438900000001,5781.033679999994,1737.519818828466,6557.4367999999995,3312.661799999998,7218.9209999999985,0.05177595628415298,0.0003054737674179996,0.0519125683060109,0.0512295081967213,0.0519125683060109,0.05177595628415298,0.0003054737674179996,0.0519125683060109,0.0512295081967213,0.0519125683060109,0.002826737860629,0.00017523109307142172,0.0028624159227592,0.0025677032933932,0.0030265599352532,0.002826737860629,0.00017523109307142172,0.0028624159227592,0.0025677032933932,0.0030265599352532,0.0020335579083180797,0.0001479050298878526,0.0021104916135397,0.0018129709319975,0.0021706308819064,0.0020335579083180797,0.0001479050298878526,0.0021104916135397,0.0018129709319975,0.0021706308819064,0.4911516573057986,0.015084792365342797,0.4815692945973385,0.4781901539848859,0.5078887167075377,0.005439146210421341,0.00020827651888451613,0.0054029039546023,0.0051826416063891,0.0056910802221191,149.0,0.0,149.0,149,149,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.2,0.447213595499958,0.0,0,1,5270400.0,0.0,5270400.0,5270400.0,5270400.0,0.0,0.0,0.0,0,0,50.0,0.0,50.0,50,50,17.156852483199874,0.08122674382262822,17.118455332999474,17.08537170799991,17.269089833999715,8.117554049999853,0.4826680485249613,7.992025374999685,7.578265125000144,8.68123679099972,26808.139695665515,262.25886798391144,0.0003792957793986001,0.0002175781396326774,0.01873024360042515,0.0002586094551701101,0.007306434487362587
Kunkler-Rinderle-Ma,2337.4,10.478549517943796,2332.0,2332,2356,76.0,0.0,76.0,76,76,76.0,0.0,76.0,76,76,75.8,0.44721359549995715,76.0,75,76,75.8,0.44721359549995715,76.0,75,76,0.2,0.447213595499958,0.0,0,1,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.2,0.447213595499958,0.0,0,1,0.0,0.0,0.0,0,0,0.9973684210526315,0.005884389414473109,1.0,0.986842105263158,1.0,0.9973684210526315,0.005884389414473109,1.0,0.986842105263158,1.0,2326.4,10.478549517943796,2321.0,2321,2345,102065.26544042106,39607.49815260472,125035.36786842106,56133.20936000001,140562.16110526316,30903.321600000003,14144.953311047133,26374.855,19297.4225,55140.816000000006,325851.73035666876,220985.95242002117,449965.2729051817,83529.58222717218,515270.8533088704,164746.2820000001,26426.302659425633,164295.0275,126302.32500000048,189848.308,261512.45593,89551.46288326842,234450.95325,190204.7885,416143.215,1642.174206184221,328.06466077767584,1569.176649769585,1351.9974294930876,2202.3759336405533,0.0,0.0,0.0,0.0,0.0,1750.6277200000009,811.4461100969623,1665.6030000000023,1016.2784000000008,3100.0490000000004,5714.83015999999,1950.0296347077801,5847.1049999999805,3618.699999999989,8646.198799999995,0.05177595628415298,0.0003054737674179996,0.0519125683060109,0.0512295081967213,0.0519125683060109,0.05177595628415298,0.0003054737674179996,0.0519125683060109,0.0512295081967213,0.0519125683060109,0.0027889473418771004,0.0001860569356909757,0.0027169701003086,0.0026159145927901,0.0030746234766675,0.0027889473418771004,0.0001860569356909757,0.0027169701003086,0.0026159145927901,0.0030746234766675,0.00198702533014566,0.00018665944678256504,0.0020550571114146,0.0017710864450516,0.0021736659456587,0.00198702533014566,0.00018665944678256504,0.0020550571114146,0.0017710864450516,0.0021736659456587,0.49070816291742714,0.023923077837012776,0.4865171469658488,0.4619314121396947,0.5172697046677879,0.0053974333765383,0.0002458378553690435,0.0055335099022377,0.0050510131556403,0.0056051759846755,149.0,0.0,149.0,149,149,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.2,0.447213595499958,0.0,0,1,5270400.0,0.0,5270400.0,5270400.0,5270400.0,0.0,0.0,0.0,0,0,50.0,0.0,50.0,50,50,17.12800217519998,0.07705754214583581,17.101572458999726,17.04994729200007,17.21902908300035,8.010387083000023,0.6579397657851945,7.834417707999819,7.295264291000421,9.07114400000046,49179.20451501138,407.3460783705706,0.0003792957793986001,0.0002310201986635975,0.02970442447644514,0.00030524801440736526,0.007306434487362587
ParkSong-Composite,2850.8,130.25820511583905,2896.0,2700,2996,76.0,0.0,76.0,76,76,76.0,0.0,76.0,76,76,75.8,0.44721359549995715,76.0,75,76,75.8,0.44721359549995715,76.0,75,76,0.2,0.447213595499958,0.0,0,1,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.2,0.447213595499958,0.0,0,1,0.0,0.0,0.0,0,0,0.9973684210526315,0.005884389414473109,1.0,0.986842105263158,1.0,0.9973684210526315,0.005884389414473109,1.0,0.986842105263158,1.0,2802.4,123.60339801154335,2840.0,2659,2939,93346.7780823827,27945.203790618198,88639.17046052631,65272.82781580263,127086.38972372368,49953.2769,7601.227553787029,51926.685,41641.633,59647.1305,200324.39012066767,191308.40309027614,101140.43563565877,86975.07910226057,535417.6588523117,173826.28056012007,12814.850855318959,170871.16780060032,156743.55,189745.01,241889.29668,39770.07718042375,235444.21275,201470.528,305241.777,2875.3807781028886,970.9067269122482,2266.392871154995,2118.2401262682024,4086.039240553917,50.2658002,40.78517085745259,61.377,0.0,101.393,4031.855720000002,1613.216353408562,3707.649,2097.901,6161.6816000000035,20702.10767999999,17310.497352469185,8834.35719999996,6985.7764,42249.53599999999,0.05177595628415298,0.0003054737674179996,0.0519125683060109,0.0512295081967213,0.0519125683060109,0.05177595628415298,0.0003054737674179996,0.0519125683060109,0.0512295081967213,0.0519125683060109,0.00180088636143366,9.961136203849049e-05,0.0018431531003339,0.0016887296232511,0.0018884789497043,0.00180088636143366,9.961136203849049e-05,0.0018431531003339,0.0016887296232511,0.0018884789497043,0.00117825332043104,0.00013609877937972804,0.0012483643556466,0.0009630875265634,0.0012987410822707,0.00117825332043104,0.00013609877937972804,0.0012483643556466,0.0009630875265634,0.0012987410822707,0.5165571000343472,0.013009348400933742,0.5170989719584838,0.5010439221781638,0.536585122675509,0.0043577546867094395,0.00017699546218937043,0.0043462201007241,0.0041099679940833,0.004528002208229,149.0,0.0,149.0,149,149,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.2,0.447213595499958,0.0,0,1,5270400.0,0.0,5270400.0,5270400.0,5270400.0,0.0,0.0,0.0,0,0,50.0,0.0,50.0,50,50,17.122413825199875,0.058184043508796045,17.139139833999252,17.05355179199978,17.177006750000146,12.232590532999893,1.9196056746544932,11.446779083000363,10.289983707999454,14.898707624999588,34698.55346927798,1205.5399284207922,0.0003792957793986001,0.00012368384205523473,0.016153239549529134,0.00021976889324597687,0.007306434487362587
RoundRobin,2327.8,15.610893632332463,2325.0,2310,2353,76.0,0.0,76.0,76,76,76.0,0.0,76.0,76,76,75.8,0.44721359549995715,76.0,75,76,75.8,0.44721359549995715,76.0,75,76,0.2,0.447213595499958,0.0,0,1,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.2,0.447213595499958,0.0,0,1,0.0,0.0,0.0,0,0,0.9973684210526315,0.005884389414473109,1.0,0.986842105263158,1.0,0.9973684210526315,0.005884389414473109,1.0,0.986842105263158,1.0,2317.0,15.572411502397426,2315.0,2299,2342,77197.10816807018,21366.777532990815,73510.26167105263,51224.58486666667,104122.99592105264,30042.9506,11720.977329678217,28622.7525,16921.614,48248.406,172238.8012853255,70835.34144402426,199192.9762507656,53224.15643165019,238527.9373767244,139336.30212,64374.064377601295,99933.54960000006,89552.0805,226508.6545,258545.88124000002,166359.1442855232,155975.60820000002,135728.23825,503109.11375,1559.589417775633,247.59196929353004,1626.9734036866362,1258.9191852534564,1825.825996313364,0.0,0.0,0.0,0.0,0.0,1582.0918000000006,790.1019558841123,2044.1162000000008,578.3044000000004,2285.6658000000007,4795.392859999994,1173.0843496362086,5224.7854,3243.714799999995,5836.351299999985,0.05177595628415298,0.0003054737674179996,0.0519125683060109,0.0512295081967213,0.0519125683060109,0.05177595628415298,0.0003054737674179996,0.0519125683060109,0.0512295081967213,0.0519125683060109,0.0024806656460303203,0.0010893149116584708,0.0019309332234126,0.001554311197701,0.0039761905831554,0.0024806656460303203,0.0010893149116584708,0.0019309332234126,0.001554311197701,0.0039761905831554,0.0013671919968123599,0.00016425660884531978,0.0014051755085003,0.0011068619080145,0.0015284684274438,0.0013671919968123599,0.00016425660884531978,0.0014051755085003,0.0011068619080145,0.0015284684274438,0.5710467522111187,0.14589953548630394,0.4912585228459818,0.4253689607693565,0.7426729597879518,0.00646624319073114,0.0038072329366905986,0.0038563452637481,0.0035161659563946,0.0114038372876738,149.0,0.0,149.0,149,149,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.2,0.447213595499958,0.0,0,1,5270400.0,0.0,5270400.0,5270400.0,5270400.0,0.0,0.0,0.0,0,0,50.0,0.0,50.0,50,50,17.202335166599916,0.08252375212036749,17.21857783300038,17.068360665999535,17.29434612499972,8.31364053340003,1.483394142055701,8.586165208000239,6.292177874999652,9.996185666999736,26530.358420343735,307.4260345161481,0.0003792957793986001,0.001352563108512837,0.1811582005679961,0.004727304070264307,0.007306434487362587
ShortestQueue,2322.2,15.352524222420293,2330.0,2296,2333,76.0,0.0,76.0,76,76,76.0,0.0,76.0,76,76,75.8,0.44721359549995715,76.0,75,76,75.8,0.44721359549995715,76.0,75,76,0.2,0.447213595499958,0.0,0,1,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.2,0.447213595499958,0.0,0,1,0.0,0.0,0.0,0,0,0.9973684210526315,0.005884389414473109,1.0,0.986842105263158,1.0,0.9973684210526315,0.005884389414473109,1.0,0.986842105263158,1.0,2311.2,15.352524222420293,2319.0,2285,2322,65184.340367578945,8957.638491965994,69199.07067999999,53384.10925,73108.90978947369,30125.596400000002,11054.344195517828,27941.666,20477.8125,47206.7865,136189.4572236468,42895.13434161404,145843.53286703269,73357.10672803802,181412.67220148383,123107.35414,27775.11852839136,119190.995,91465.41620000004,154519.218,185839.29306999999,28849.959385780032,178273.8135,150146.11959999998,226889.36875,1677.3302863439578,66.9468628673039,1667.8495926267278,1599.813935483871,1774.709330875576,0.0,0.0,0.0,0.0,0.0,1896.5432400000004,505.0258816056341,2096.530399999998,1216.0904000000005,2471.4650000000024,6148.181879999994,738.2315409188479,6039.055799999997,5437.7815999999975,7051.820399999994,0.05177595628415298,0.0003054737674179996,0.0519125683060109,0.0512295081967213,0.0519125683060109,0.05177595628415298,0.0003054737674179996,0.0519125683060109,0.0512295081967213,0.0519125683060109,0.00141579482936602,0.00011602695946860864,0.0013803152598388,0.0012973541482677,0.0015841377391736,0.00141579482936602,0.00011602695946860864,0.0013803152598388,0.0012973541482677,0.0015841377391736,0.0013220320469034,0.00015870646582767068,0.0012396508803885,0.0011988095780206,0.0015780682680631,0.0013220320469034,0.00015870646582767068,0.0012396508803885,0.0011988095780206,0.0015780682680631,0.4737707816351038,0.04384436651493038,0.4904653552156231,0.4246641981885411,0.5285263028087807,0.00323607456312432,6.963248957171383e-05,0.0032608357169895,0.0031367754770539,0.0033009419162447,149.0,0.0,149.0,149,149,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.2,0.447213595499958,0.0,0,1,5270400.0,0.0,5270400.0,5270400.0,5270400.0,0.0,0.0,0.0,0,0,50.0,0.0,50.0,50,50,17.161723783399975,0.07131556612837688,17.167756374999954,17.078017583000474,17.23980074999963,8.57165850820038,0.5093986539823588,8.293466666000313,8.131130333000328,9.321716250000463,11122.377224398431,83.12550941501567,0.0003792957793986001,0.0001440664983932187,0.05443997142563969,8.646015540649611e-05,0.007306434487362587
