Method,Fixed-route completion,Mean cycle time,Mean waiting time,Horizon-normalized throughput,Horizon-normalized occupation,Fairness,Weighted fairness
Batch,0.9973684210526315,71654.25454378947,1638.6057836175114,0.05177595628415298,0.002826737860629,0.4911516573057986,0.005439146210421341
Kunkler-Rinderle-Ma,0.9973684210526315,103557.96308252632,1635.2906848938987,0.05177595628415298,0.0027956558546609,0.4896205219653256,0.00541253982775714
ParkSong-Composite,1.0,116029.34441057895,4401.933000556682,0.051912568306010896,0.0017963184881590398,0.528370762578261,0.0044396882155482795
RoundRobin,1.0,105187.33774473685,1637.3091214746544,0.051912568306010896,0.00212194783660818,0.5327175751116713,0.005266691999315299
ShortestQueue,0.9973684210526315,65184.340367578945,1677.3302863439578,0.05177595628415298,0.00141579482936602,0.4737707816351038,0.00323607456312432
