resource_occupation_mean,resource_occupation_median,resource_fairness_gini,weighted_resource_fairness,weighted_resource_fairness_status,weighted_fairness_resource_count,strategy,seed
0.0016836698675438,0.0009229386763812,0.5273298316372454,0.0042210827734983,computed,149,ParkSong-Composite,1
0.0016906852660458,0.0011671782027929,0.5298737187151514,0.0044045112138103,computed,149,ParkSong-Composite,2
0.0017278922275114,0.001194534570431,0.5188717537428568,0.0042667141064532,computed,149,ParkSong-Composite,3
0.0019928014433957,0.0014103944672131,0.4826553527419985,0.0045718008822041,computed,149,ParkSong-Composite,4
0.0017474403780398,0.0008014924863387,0.6090079987850318,0.0050854739914407,computed,149,ParkSong-Composite,5
