resource_occupation_mean,resource_occupation_median,resource_fairness_gini,weighted_resource_fairness,weighted_resource_fairness_status,weighted_fairness_resource_count,strategy,seed
0.0015647311891429,0.0011109235541894,0.5382426335115219,0.0040215078417493,computed,149,ParkSong-Composite,1
0.0017322098685278,0.0009798324605343,0.5416049667349382,0.0044882275698259,computed,149,ParkSong-Composite,2
0.0018029028222682,0.0011398645264116,0.5058243937278191,0.0042520558173152,computed,149,ParkSong-Composite,3
0.0019435924541235,0.0012880891393442,0.5079772980435648,0.0046752681359751,computed,149,ParkSong-Composite,4
0.0016041948668351,0.00080125702034,0.5799623488452377,0.0046322238381336,computed,149,ParkSong-Composite,5
