fixed_route_historical_arrivals_scheduled,fixed_route_cases_admitted,immediate_allocation_calls,global_strategy_calls,waiting_tasks_seen,waiting_queue_size_sum,waiting_queue_size_samples,max_queue_size,active_prediction_count_sum,active_reservation_count_sum,allocation_call_samples,resource_build_calls,permission_cache_misses,resource_objects_created,_build_resources_calls,_build_resources_time_seconds,task_cache_misses,task_cache_created,task_cache_max_size,_build_tasks_calls,_build_tasks_time_seconds,tasks_converted_sum,resources_converted_sum,park_song_predictions_consumed,park_song_prediction_reuse_count,allocation_strategy_calls,allocation_strategy_time_seconds,strategy_assignments,resources_allocated,_allocate_enabled_events_calls,_allocate_enabled_events_time_seconds,visible_activity_processing_starts,processing_time_resampling_attempts,processing_time_global_fallback_hits,processing_time_source_activity_A_Create_Application_global_fallback,final_positive_duration_count,task_cache_removed,permission_cache_hits,resources_released,branch_predictions,branch_prediction_calls,branch_prediction_time_seconds,processing_time_source_activity_A_Submitted_global_fallback,unique_predictions_executed,branch_predictions_executed,prediction_execution_matches,processing_time_source_activity_A_Concept_global_fallback,prediction_execution_mismatches,processing_time_source_activity_A_Accepted_global_fallback,processing_time_source_activity_O_Create_Offer_global_fallback,processing_time_source_activity_O_Created_global_fallback,processing_time_source_activity_O_Sent__mail_and_online_global_fallback,processing_time_model_hits,processing_time_source_activity_W_Complete_application_exact_model,fixed_route_bpmn_fire_failures,processing_time_source_activity_A_Complete_global_fallback,processing_time_source_activity_O_Cancelled_global_fallback,processing_time_source_activity_A_Cancelled_global_fallback,reservation_decisions,reservations_created,suspended_events,waiting_retry_no_future_availability,waiting_retry_after_resource_release,task_cache_hits,reservations_used,reservations_cancelled,processing_time_source_activity_A_Validating_global_fallback,fixed_route_cases_completed,waiting_retry_events_scheduled,waiting_retry_scheduled_reason_allocation_failure,waiting_retry_duplicate_suppressed,waiting_retry_scheduled_reason_post_retry_unassigned,waiting_retry_events_processed,processing_time_source_activity_O_Returned_global_fallback,processing_time_source_activity_W_Handle_leads_exact_model,processing_time_source_activity_W_Validate_application_exact_model,processing_time_source_activity_A_Incomplete_global_fallback,processing_time_source_activity_O_Accepted_global_fallback,processing_time_source_activity_A_Pending_global_fallback,reservations_expired,processing_time_activity_fallback_hits,processing_time_source_activity_W_Validate_application_learned_activity_fallback,fixed_route_prediction_global_candidate_fallbacks,processing_time_source_activity_W_Call_after_offers_learned_activity_fallback,processing_time_source_activity_W_Complete_application_learned_activity_fallback,processing_time_source_activity_A_Denied_global_fallback,processing_time_source_activity_O_Sent__online_only_global_fallback,processing_time_source_activity_O_Refused_global_fallback,processing_time_source_activity_W_Call_incomplete_files_exact_model,processing_time_source_activity_W_Handle_leads_learned_activity_fallback,processing_time_source_activity_W_Assess_potential_fraud_learned_activity_fallback,reservations_unresolved_at_horizon,reservations_active_after_cleanup,cases_censored,branch_prediction_source_CompositeBranchingEngine,branch_prediction_source_BPMNDeterministic,diagnostic_cycle_guard_enabled,cycle_repetition_limit,cycle_repetition_limit_hits,cycle_candidate_filtered,cycle_guard_filter_events,empirical_successor_candidates_filtered,empirical_successor_filter_events,fixed_route_no_route_available,fixed_route_arrivals_skipped_after_routes_exhausted,waiting_retry_after_reservation_change,event_queue_empty_with_waiting_tasks,feasible_waiting_tasks_at_drain_end,infeasible_waiting_tasks_at_drain_end,duplicate_assignment_errors,reservations_overwritten,reservations_rejected_existing_kept,stale_predictions,unresolved_reservations,unresolved_predictions,global_assignment_calls,global_assignment_resources_total,global_assignment_candidates_total,global_assignment_feasible_pairs_total,reservation_margin_filtered,unequal_resource_load_comparisons,equal_resource_load_ties,resource_load_unequal_decisions,resource_load_tie_break_decisions,resource_load_assignment_decisions,processing_time_empirical_activity_fallback_hits,processing_time_category_fallback_hits,processing_time_emergency_guard_hits,processing_time_missing_model_count,processing_time_invalid_value_count,processing_time_cached_duration_uses,processing_model_loaded,processing_model_retrained,processing_model_load_error,processing_model_artifact_path,minimum_visible_duration_applications,zero_duration_silent_transitions,final_zero_visible_duration_count,minimum_visible_duration_application_rate,processing_time_data_backed_coverage_rate,processing_time_exact_model_coverage_rate,processing_time_any_non_emergency_coverage_rate,final_processing_duration_min,final_processing_duration_median,final_processing_duration_mean,final_processing_duration_max,waiting_queue_size_mean,tasks_converted_per_call_mean,resources_converted_per_call_mean,active_prediction_count_mean,reservation_count_mean,strategy,seed,events_processed,drain_until,diagnostic_cycle_guard,engine_initialization_seconds,simulation_runtime_seconds,processing_time_source_activity_W_Call_incomplete_files_learned_activity_fallback
76,76,986,1897,9573,9573,1897,32,12181,90142,1897,1897,24,9816,1897,0.0275297639873315,986,986,32,1897,0.0068164980548317,9573,9816,1002,11179,1897,0.0713007819667836,1077,1077,1897,0.1241272629831655,1077,1078,982,76,1077,986,40085,1077,1002,1002,3.505450959999507,47,1001,1001,505,76,496,76,96,96,90,67,43,310,76,46,31,445,445,704,394,876,8587,91,204,80,75,35,14,1180,21,35,51,7,14,46,34,34,129,28,13,6,3,8,10,3,14,3,3,1,21,0,1,562,440,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1138,9816,14997,18663,30166,0,0,0,0,0,0,0,0,0,0,0,1,0,,joao/models/process_time/final_process_time_coverage_v2.pkl,0,0,0,0.0,0.0882079851439183,0.0622098421541318,1.0,2.0,612.807,827.7398570102135,6230.0,5.046389035318924,5.046389035318924,5.174486030574592,6.4211913547706905,47.51818661043753,ParkSong-Composite,2,2858,2016-11-16T15:07:00+00:00,0,17.44560716700107,11.710218750000422,
76,76,936,1935,7359,7359,1935,30,11494,59824,1935,1935,24,10551,1935,0.0305430460248317,936,936,30,1935,0.0066893179828184,7359,10551,1009,10485,1935,0.0715930430324078,1085,1085,1935,0.1285410829914326,1085,1086,987,76,1085,936,31217,1085,1009,1009,3.6802275830214057,47,1009,1009,504,76,505,76,96,96,90,56,36,315,76,47,31,496,496,674,606,974,6423,149,187,81,76,27,14,1029,13,27,51,5,13,47,35,35,160,42,16,8,3,15,10,3,14,2,5,1,0,0,0,565,444,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1206,10551,12564,16078,24485,0,0,0,0,0,0,0,0,0,0,0,1,0,,joao/models/process_time/final_process_time_coverage_v2.pkl,0,0,0,0.0,0.0903225806451612,0.0516129032258064,1.0,2.756,607.7,855.042596313364,12399.0,3.803100775193798,3.803100775193798,5.452713178294574,5.940051679586563,30.916795865633073,ParkSong-Composite,5,2844,2016-11-16T15:07:00+00:00,0,17.26134220900167,14.724304875000598,2.0
