candidate_id,seed,phase,accuracy,macro_f1,weighted_f1,raw_accuracy,log_loss,brier,top2_accuracy,fallback_rate,raw_top_class_rejected_by_bpmn,inference_runtime_seconds,artifact_size_estimate_bytes,n_samples,n_estimators,max_depth,min_samples_leaf,min_samples_split,max_features,class_weight,criterion
rf_00,1,phase_b_stability,0.8179166274583608,0.7779488952234516,0.8439909442161861,0.8179166274583608,0.2881595649673619,0.17548042737294245,1.0,0.0,0,0.051718124999752035,1373630,10627,100,8,2,2,sqrt,balanced,gini
rf_00,2,phase_b_stability,0.8179166274583608,0.7779488952234516,0.8439909442161861,0.8179166274583608,0.29716345919124154,0.1727008411787539,1.0,0.0,0,0.051621167000121204,1327551,10627,100,8,2,2,sqrt,balanced,gini
rf_00,3,phase_b_stability,0.8179166274583608,0.7779488952234516,0.8439909442161861,0.8179166274583608,0.2801194003169877,0.16962600823240834,1.0,0.0,0,0.05197374999988824,1265861,10627,100,8,2,2,sqrt,balanced,gini
rf_00,4,phase_b_stability,0.8180107273924908,0.77796026774702,0.8441317726437649,0.8180107273924908,0.302907899663571,0.175076241285013,1.0,0.0,0,0.05140779200155521,1370759,10627,100,8,2,2,sqrt,balanced,gini
rf_00,5,phase_b_stability,0.8179166274583608,0.7779488952234516,0.8439909442161861,0.8179166274583608,0.28401540975485695,0.17281654998585488,1.0,0.0,0,0.05307916700076021,1398359,10627,100,8,2,2,sqrt,balanced,gini
rf_27,1,phase_b_stability,0.9401524418932907,0.8414434910003582,0.9429205528541588,0.9401524418932907,0.14907809682965095,0.09600213143667777,1.0,0.0,0,0.07672674999957962,29769446,10627,200,16,5,5,0.5,balanced_subsample,gini
rf_27,2,phase_b_stability,0.9399642420250306,0.8418763637179022,0.9428938505253265,0.9399642420250306,0.14884873160162873,0.0959563438864999,1.0,0.0,0,0.0738459160002094,29471826,10627,200,16,5,5,0.5,balanced_subsample,gini
rf_27,3,phase_b_stability,0.9409993413004611,0.8426615551123623,0.9435526287136715,0.9409993413004611,0.14953903542302419,0.0963250242644217,1.0,0.0,0,0.07960724999975355,29353970,10627,200,16,5,5,0.5,balanced_subsample,gini
rf_27,4,phase_b_stability,0.9374235438035193,0.8425347907152693,0.9416786534289935,0.9374235438035193,0.14898327753175333,0.09637156610263564,1.0,0.0,0,0.08079950000137615,29397419,10627,200,16,5,5,0.5,balanced_subsample,gini
rf_27,5,phase_b_stability,0.9369530441328691,0.839695710454201,0.9409828659693532,0.9369530441328691,0.14955817743161004,0.09656313122658267,1.0,0.0,0,0.08236866600054782,29771366,10627,200,16,5,5,0.5,balanced_subsample,gini
rf_18,1,phase_b_stability,0.910040462971676,0.8391063901103398,0.9252626118085537,0.910040462971676,0.1717223827969923,0.11641093108472549,1.0,0.0,0,0.07680079099918657,12723770,10627,200,12,5,5,0.5,balanced_subsample,gini
rf_18,2,phase_b_stability,0.9085348640255951,0.8358750007011758,0.9239749512186234,0.9085348640255951,0.1722817499700793,0.11709001081662784,1.0,0.0,0,0.07830670899966208,12579015,10627,200,12,5,5,0.5,balanced_subsample,gini
rf_18,3,phase_b_stability,0.9136162604686177,0.8390943769448015,0.9275591422570116,0.9136162604686177,0.17182015037318235,0.11630474869910953,1.0,0.0,0,0.07799554099983652,12412679,10627,200,12,5,5,0.5,balanced_subsample,gini
rf_18,4,phase_b_stability,0.9094758633668957,0.8382982190943199,0.9248175549948112,0.9094758633668957,0.17343315988116137,0.11788750407414991,1.0,0.0,0,0.08990554100091686,12468350,10627,200,12,5,5,0.5,balanced_subsample,gini
rf_18,5,phase_b_stability,0.9107932624447163,0.8383092040957428,0.9256759495116028,0.9107932624447163,0.17333029465317604,0.11779301220416818,1.0,0.0,0,0.07703408299857983,12647435,10627,200,12,5,5,0.5,balanced_subsample,gini
rf_12,1,phase_b_stability,0.9180389573727299,0.83882421694386,0.9302582857076576,0.9180389573727299,0.1651960631894797,0.11187045457861551,1.0,0.0,0,0.0780178339991835,13069631,10627,200,12,1,2,0.5,balanced_subsample,gini
rf_12,2,phase_b_stability,0.9186976569116402,0.8384393827637712,0.9306075911823567,0.9186976569116402,0.1636562304086368,0.1106512288429024,1.0,0.0,0,0.07936175000031653,12873738,10627,200,12,1,2,0.5,balanced_subsample,gini
rf_12,3,phase_b_stability,0.9181330573068599,0.8373456832142193,0.9301338051391345,0.9181330573068599,0.16484093718172155,0.11173278553873991,1.0,0.0,0,0.0788847080002597,12763325,10627,200,12,1,2,0.5,balanced_subsample,gini
rf_12,4,phase_b_stability,0.9187917568457702,0.8402646487335491,0.930887815788635,0.9187917568457702,0.1672644191841635,0.11324790850702174,1.0,0.0,0,0.08042337500046415,12777758,10627,200,12,1,2,0.5,balanced_subsample,gini
rf_12,5,phase_b_stability,0.9186976569116402,0.8409343873247616,0.9309116336796791,0.9186976569116402,0.16597818246137924,0.11245212461709296,1.0,0.0,0,0.07679075000123703,12934730,10627,200,12,1,2,0.5,balanced_subsample,gini
