fixed_route_historical_arrivals_scheduled,fixed_route_cases_admitted,immediate_allocation_calls,global_strategy_calls,waiting_tasks_seen,waiting_queue_size_sum,waiting_queue_size_samples,max_queue_size,active_prediction_count_sum,active_reservation_count_sum,allocation_call_samples,resource_build_calls,permission_cache_misses,resource_objects_created,_build_resources_calls,_build_resources_time_seconds,task_cache_misses,task_cache_created,task_cache_max_size,_build_tasks_calls,_build_tasks_time_seconds,tasks_converted_sum,resources_converted_sum,park_song_predictions_consumed,park_song_prediction_reuse_count,allocation_strategy_calls,allocation_strategy_time_seconds,strategy_assignments,resources_allocated,_allocate_enabled_events_calls,_allocate_enabled_events_time_seconds,visible_activity_processing_starts,processing_time_resampling_attempts,processing_time_global_fallback_hits,processing_time_source_activity_A_Create_Application_global_fallback,final_positive_duration_count,task_cache_removed,resources_released,branch_predictions,branch_prediction_calls,branch_prediction_time_seconds,processing_time_source_activity_A_Submitted_global_fallback,unique_predictions_executed,branch_predictions_executed,prediction_execution_matches,permission_cache_hits,reservation_decisions,reservations_created,reservations_cancelled,processing_time_source_activity_A_Concept_global_fallback,prediction_execution_mismatches,processing_time_source_activity_A_Accepted_global_fallback,processing_time_source_activity_O_Create_Offer_global_fallback,processing_time_source_activity_O_Created_global_fallback,suspended_events,waiting_retry_no_future_availability,waiting_retry_after_resource_release,task_cache_hits,processing_time_source_activity_O_Cancelled_global_fallback,fixed_route_bpmn_fire_failures,reservations_used,processing_time_source_activity_O_Sent__mail_and_online_global_fallback,processing_time_model_hits,processing_time_source_activity_W_Complete_application_exact_model,processing_time_source_activity_A_Complete_global_fallback,processing_time_source_activity_A_Validating_global_fallback,waiting_retry_events_scheduled,waiting_retry_scheduled_reason_allocation_failure,waiting_retry_duplicate_suppressed,processing_time_source_activity_O_Returned_global_fallback,waiting_retry_scheduled_reason_post_retry_unassigned,waiting_retry_events_processed,processing_time_source_activity_A_Incomplete_global_fallback,processing_time_source_activity_A_Cancelled_global_fallback,processing_time_source_activity_O_Accepted_global_fallback,fixed_route_prediction_global_candidate_fallbacks,fixed_route_cases_completed,processing_time_activity_fallback_hits,processing_time_source_activity_W_Call_after_offers_learned_activity_fallback,processing_time_source_activity_A_Pending_global_fallback,reservations_expired,processing_time_source_activity_W_Validate_application_learned_activity_fallback,processing_time_source_activity_W_Handle_leads_exact_model,processing_time_source_activity_W_Complete_application_learned_activity_fallback,processing_time_source_activity_A_Denied_global_fallback,processing_time_source_activity_O_Sent__online_only_global_fallback,processing_time_source_activity_O_Refused_global_fallback,processing_time_source_activity_W_Handle_leads_learned_activity_fallback,processing_time_source_activity_W_Validate_application_exact_model,processing_time_source_activity_W_Call_incomplete_files_learned_activity_fallback,processing_time_source_activity_W_Assess_potential_fraud_learned_activity_fallback,reservations_active_after_cleanup,cases_censored,branch_prediction_source_CompositeBranchingEngine,branch_prediction_source_BPMNDeterministic,diagnostic_cycle_guard_enabled,cycle_repetition_limit,cycle_repetition_limit_hits,cycle_candidate_filtered,cycle_guard_filter_events,empirical_successor_candidates_filtered,empirical_successor_filter_events,fixed_route_no_route_available,fixed_route_arrivals_skipped_after_routes_exhausted,waiting_retry_after_reservation_change,event_queue_empty_with_waiting_tasks,feasible_waiting_tasks_at_drain_end,infeasible_waiting_tasks_at_drain_end,duplicate_assignment_errors,reservations_overwritten,reservations_rejected_existing_kept,reservations_unresolved_at_horizon,stale_predictions,unresolved_reservations,unresolved_predictions,global_assignment_calls,global_assignment_resources_total,global_assignment_candidates_total,global_assignment_feasible_pairs_total,unequal_resource_load_comparisons,equal_resource_load_ties,resource_load_unequal_decisions,resource_load_tie_break_decisions,resource_load_assignment_decisions,processing_time_empirical_activity_fallback_hits,processing_time_category_fallback_hits,processing_time_emergency_guard_hits,processing_time_missing_model_count,processing_time_invalid_value_count,processing_time_cached_duration_uses,processing_model_loaded,processing_model_retrained,processing_model_load_error,processing_model_artifact_path,minimum_visible_duration_applications,zero_duration_silent_transitions,final_zero_visible_duration_count,minimum_visible_duration_application_rate,processing_time_data_backed_coverage_rate,processing_time_exact_model_coverage_rate,processing_time_any_non_emergency_coverage_rate,final_processing_duration_min,final_processing_duration_median,final_processing_duration_mean,final_processing_duration_max,waiting_queue_size_mean,tasks_converted_per_call_mean,resources_converted_per_call_mean,active_prediction_count_mean,reservation_count_mean,strategy,seed,events_processed,drain_until,diagnostic_cycle_guard,engine_initialization_seconds,simulation_runtime_seconds,processing_time_source_activity_W_Call_incomplete_files_exact_model
76,76,951,1911,8026,8026,1911,30,12311,66845,1911,1911,24,8012,1911,0.0213374259847114,951,951,30,1911,0.0051009600110774,8026,8012,1008,11303,1911,0.0563604099916119,1083,1083,1911,0.0983821649715537,1083,1083,986,76,1083,951,1083,1008,1008,3.2850407010173512,47,1007,1007,499,31049,626,626,379,76,508,76,96,96,678,518,922,7075,46,313,132,90,60,40,76,81,38,15,1067,51,23,38,47,31,35,7,75,37,3,35,115,17,9,11,10,3,14,1,11,4,1,0,1,564,444,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1152,8012,13063,25231,0,0,0,0,0,0,0,0,0,0,0,1,0,,joao/models/process_time/final_process_time_coverage_v2.pkl,0,0,0,0.0,0.0895660203139427,0.0554016620498614,1.0,1.0,614.196,851.7387793167128,14412.0,4.199895342752486,4.199895342752486,4.192569335426478,6.442176870748299,34.979068550497125,ParkSong-Composite,1,2844,2016-11-16T15:07:00+00:00,0,17.30606295800044,9.789753082999596,
76,76,1040,1956,9359,9359,1956,28,16484,72053,1956,1956,24,6784,1956,0.022513882003295294,1040,1040,28,1956,0.005785532027402951,9359,6784,1009,15475,1956,0.04906835897054407,1085,1085,1956,0.09385089501211041,1085,1085,987,76,1085,1040,1085,1009,1009,3.341382593007438,47,1009,1009,505,42105,486,486,380,76,504,76,96,96,808,260,888,8319,47,315,45,90,54,40,76,81,29,8,1427,51,21,29,47,31,35,8,76,44,3,35,61,24,8,11,10,3,14,2,5,3,1,0,0,565,444,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1083,6784,16290,29145,0,0,0,0,0,0,0,0,0,0,0,1,0,,joao/models/process_time/final_process_time_coverage_v2.pkl,0,0,0,0.0,0.09032258064516129,0.04976958525345622,1.0,2.855,604.44,849.7163437788018,8715.0,4.784764826175869,4.784764826175869,3.4683026584867074,8.427402862985685,36.83691206543967,ParkSong-Composite,2,2978,2016-11-16T15:07:00+00:00,0,17.099993124999855,17.155804375000116,1.0
