class,support,precision,recall,f1
A_Cancelled,781,0.6680923866552609,1.0,0.8010256410256411
A_Complete,3177,1.0,1.0,1.0
A_Concept,8397,0.9069739952718676,0.9137787304989877,0.9103636471495521
A_Submitted,6148,1.0,1.0,1.0
O_Create Offer,9829,0.9998940902351197,0.9605249771085563,0.9798142286336984
W_Complete application,1,0.0,0.0,0.0
W_Handle leads,1052,0.2679474216380182,0.25190114068441066,0.2596766291033807
