Method,Mean cycle time,Mean waiting time,Throughput,Utilization,Fairness,Weighted fairness,Completion rate
Batch,71654.25454378946,1638.6057836175114,0.05177595628415298,0.002826737860629,0.4911516573057986,0.005439146210421341,0.9973684210526315
Kunkler-Rinderle-Ma,98957.21257989472,1633.080166368553,0.05177595628415298,0.00279673578353592,0.48923013993409326,0.00541272381499228,0.9973684210526315
ParkSong-Composite,104560.76468425526,4062.8567749340086,0.051912568306010896,0.00213131317952534,0.5319482446945804,0.004915990713315161,1.0
RoundRobin,92292.03200526317,1724.8820947465435,0.051912568306010896,0.00210042449506328,0.5454536173441804,0.00532364081405124,1.0
ShortestQueue,65184.340367578945,1677.3302863439578,0.05177595628415298,0.00141579482936602,0.4737707816351038,0.00323607456312432,0.9973684210526315
