horizon_normalized_resource_occupation_mean,resource_occupation_mean,horizon_normalized_resource_occupation_median,resource_occupation_median,resource_fairness_gini,weighted_resource_fairness,weighted_resource_fairness_status,weighted_fairness_resource_count,strategy,seed
0.0677577796483352,0.0677577796483352,0.0666883333333333,0.0666883333333333,0.4176384993298827,0.092844509853049,computed,91,RoundRobin,1
0.0965212936026936,0.0965212936026936,0.0985106313131313,0.0985106313131313,0.3503504076325274,0.1096876045251536,computed,91,RoundRobin,2
0.0742324316498316,0.0742324316498316,0.0680097727272727,0.0680097727272727,0.3720390746590676,0.0970258049437752,computed,91,RoundRobin,3
0.0656764440703329,0.0656764440703329,0.0601069191919191,0.0601069191919191,0.3685264144490001,0.0961372217693228,computed,91,ShortestQueue,1
0.0883943854166666,0.0883943854166666,0.0871611742424242,0.0871611742424242,0.3574524859913771,0.1276316615300902,computed,91,ShortestQueue,2
0.0751735393939393,0.0751735393939393,0.0718336111111111,0.0718336111111111,0.3508171609372852,0.1097065207576232,computed,91,ShortestQueue,3
0.1549534942279942,0.1549534942279942,0.1589938888888889,0.1589938888888889,0.3470014352215843,0.2825506008988508,computed,91,ParkSong-Composite,1
0.1640897492365516,0.1640897492365516,0.1497876262626262,0.1497876262626262,0.3475759978309767,0.3094456818277766,computed,91,ParkSong-Composite,2
0.1484212633087633,0.1484212633087633,0.1338371717171717,0.1338371717171717,0.3383067732753054,0.2629592861054077,computed,91,ParkSong-Composite,3
0.160257390077243,0.160257390077243,0.137036452020202,0.137036452020202,0.3712435133470417,0.2783500393521156,computed,91,Kunkler-Rinderle-Ma,1
0.1550529604181348,0.1550529604181348,0.118135202020202,0.118135202020202,0.3955335421905303,0.2927300699123305,computed,91,Kunkler-Rinderle-Ma,2
0.1630415959595959,0.1630415959595959,0.1506373232323232,0.1506373232323232,0.3298735375007823,0.268550269826094,computed,91,Kunkler-Rinderle-Ma,3
0.1528529624819625,0.1528529624819625,0.1271853282828283,0.1271853282828283,0.423169465352575,0.2857350779111424,computed,91,Batch,1
0.1736633309283309,0.1736633309283309,0.1578732196969697,0.1578732196969697,0.3415944898029774,0.3147158376562765,computed,91,Batch,2
0.1631205941770648,0.1631205941770648,0.1267654924242424,0.1267654924242424,0.3463664132005528,0.2653897630002145,computed,91,Batch,3
