strategy,n_events_mean,n_events_std,n_events_median,n_events_min,n_events_max,cases_admitted_mean,cases_admitted_std,cases_admitted_median,cases_admitted_min,cases_admitted_max,cases_observed_mean,cases_observed_std,cases_observed_median,cases_observed_min,cases_observed_max,cases_completed_mean,cases_completed_std,cases_completed_median,cases_completed_min,cases_completed_max,cases_incomplete_mean,cases_incomplete_std,cases_incomplete_median,cases_incomplete_min,cases_incomplete_max,cases_deadlocked_mean,cases_deadlocked_std,cases_deadlocked_median,cases_deadlocked_min,cases_deadlocked_max,cases_cyclic_mean,cases_cyclic_std,cases_cyclic_median,cases_cyclic_min,cases_cyclic_max,cases_censored_mean,cases_censored_std,cases_censored_median,cases_censored_min,cases_censored_max,cases_active_mean,cases_active_std,cases_active_median,cases_active_min,cases_active_max,deadlocked_case_ids_mean,deadlocked_case_ids_std,deadlocked_case_ids_median,deadlocked_case_ids_min,deadlocked_case_ids_max,cyclic_case_ids_mean,cyclic_case_ids_std,cyclic_case_ids_median,cyclic_case_ids_min,cyclic_case_ids_max,censored_case_ids_mean,censored_case_ids_std,censored_case_ids_median,censored_case_ids_min,censored_case_ids_max,active_case_ids_mean,active_case_ids_std,active_case_ids_median,active_case_ids_min,active_case_ids_max,completion_rate_mean,completion_rate_std,completion_rate_median,completion_rate_min,completion_rate_max,tasks_assigned_mean,tasks_assigned_std,tasks_assigned_median,tasks_assigned_min,tasks_assigned_max,cycle_time_mean_s_mean,cycle_time_mean_s_std,cycle_time_mean_s_median,cycle_time_mean_s_min,cycle_time_mean_s_max,cycle_time_median_s_mean,cycle_time_median_s_std,cycle_time_median_s_median,cycle_time_median_s_min,cycle_time_median_s_max,cycle_time_std_s_mean,cycle_time_std_s_std,cycle_time_std_s_median,cycle_time_std_s_min,cycle_time_std_s_max,cycle_time_p90_s_mean,cycle_time_p90_s_std,cycle_time_p90_s_median,cycle_time_p90_s_min,cycle_time_p90_s_max,cycle_time_p95_s_mean,cycle_time_p95_s_std,cycle_time_p95_s_median,cycle_time_p95_s_min,cycle_time_p95_s_max,waiting_time_mean_s_mean,waiting_time_mean_s_std,waiting_time_mean_s_median,waiting_time_mean_s_min,waiting_time_mean_s_max,waiting_time_median_s_mean,waiting_time_median_s_std,waiting_time_median_s_median,waiting_time_median_s_min,waiting_time_median_s_max,waiting_time_p90_s_mean,waiting_time_p90_s_std,waiting_time_p90_s_median,waiting_time_p90_s_min,waiting_time_p90_s_max,waiting_time_p95_s_mean,waiting_time_p95_s_std,waiting_time_p95_s_median,waiting_time_p95_s_min,waiting_time_p95_s_max,throughput_cases_per_hour_mean,throughput_cases_per_hour_std,throughput_cases_per_hour_median,throughput_cases_per_hour_min,throughput_cases_per_hour_max,resource_occupation_mean_mean,resource_occupation_mean_std,resource_occupation_mean_median,resource_occupation_mean_min,resource_occupation_mean_max,resource_occupation_median_mean,resource_occupation_median_std,resource_occupation_median_median,resource_occupation_median_min,resource_occupation_median_max,resource_fairness_gini_mean,resource_fairness_gini_std,resource_fairness_gini_median,resource_fairness_gini_min,resource_fairness_gini_max,weighted_resource_fairness_mean,weighted_resource_fairness_std,weighted_resource_fairness_median,weighted_resource_fairness_min,weighted_resource_fairness_max,weighted_fairness_resource_count_mean,weighted_fairness_resource_count_std,weighted_fairness_resource_count_median,weighted_fairness_resource_count_min,weighted_fairness_resource_count_max,active_cases_remaining_mean,active_cases_remaining_std,active_cases_remaining_median,active_cases_remaining_min,active_cases_remaining_max,waiting_queue_remaining_mean,waiting_queue_remaining_std,waiting_queue_remaining_median,waiting_queue_remaining_min,waiting_queue_remaining_max,drain_stopped_by_limit_mean,drain_stopped_by_limit_std,drain_stopped_by_limit_median,drain_stopped_by_limit_min,drain_stopped_by_limit_max,run_window_seconds_mean,run_window_seconds_std,run_window_seconds_median,run_window_seconds_min,run_window_seconds_max,diagnostic_cycle_guard_mean,diagnostic_cycle_guard_std,diagnostic_cycle_guard_median,diagnostic_cycle_guard_min,diagnostic_cycle_guard_max,cycle_repetition_limit_mean,cycle_repetition_limit_std,cycle_repetition_limit_median,cycle_repetition_limit_min,cycle_repetition_limit_max,engine_initialization_seconds_mean,engine_initialization_seconds_std,engine_initialization_seconds_median,engine_initialization_seconds_min,engine_initialization_seconds_max,simulation_runtime_seconds_mean,simulation_runtime_seconds_std,simulation_runtime_seconds_median,simulation_runtime_seconds_min,simulation_runtime_seconds_max,cycle_time_mean_s_ci95_half_width,waiting_time_mean_s_ci95_half_width,throughput_cases_per_hour_ci95_half_width,resource_occupation_mean_ci95_half_width,resource_fairness_gini_ci95_half_width,weighted_resource_fairness_ci95_half_width
Batch,2329.0,8.944271909999207,2327.0,2318,2340,76.0,0.0,76.0,76,76,76.0,0.0,76.0,76,76,75.8,0.44721359549995715,76.0,75,76,0.2,0.447213595499958,0.0,0,1,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.2,0.447213595499958,0.0,0,1,0.0,0.0,0.0,0,0,,,,,,,,,,,69.0,,69.0,69.0,69.0,,,,,,0.9973684210526315,0.005884389414473109,1.0,0.986842105263158,1.0,2318.0,8.944271909999207,2316.0,2307,2329,71654.25454378946,21590.49447712678,63033.70673684211,51877.07872368421,107706.0742105263,41134.663,14270.967772359289,48121.57,17756.6885,52500.7485,131415.60343780578,76251.70323295209,116350.6381500183,58704.64826152124,258327.4587300245,141373.81354000006,44198.970895848324,123003.911,88477.875,193952.0385,252835.74053999997,84868.05551177265,222787.41175,191302.88275,400075.71675,1638.6057836175114,211.2156496147948,1718.072025,1303.8882838709676,1860.9613308755763,0.0,0.0,0.0,0.0,0.0,1825.5844600000012,579.7338437732336,2129.3414000000016,938.5116000000012,2298.438900000001,5781.033679999994,1737.519818828466,6557.4367999999995,3312.661799999998,7218.9209999999985,0.05177595628415298,0.0003054737674179996,0.0519125683060109,0.0512295081967213,0.0519125683060109,0.002826737860629,0.00017523109307142172,0.0028624159227592,0.0025677032933932,0.0030265599352532,0.0020335579083180797,0.0001479050298878526,0.0021104916135397,0.0018129709319975,0.0021706308819064,0.4911516573057986,0.015084792365342797,0.4815692945973385,0.4781901539848859,0.5078887167075377,0.005439146210421341,0.00020827651888451613,0.0054029039546023,0.0051826416063891,0.0056910802221191,149.0,0.0,149.0,149,149,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.2,0.447213595499958,0.0,0,1,5270400.0,0.0,5270400.0,5270400.0,5270400.0,0.0,0.0,0.0,0,0,50.0,0.0,50.0,50,50,17.241453774800174,0.06135006153225529,17.249361707999924,17.16784754100081,17.305750042,8.08197755800138,0.4003705665038795,8.007488333001675,7.602411375002703,8.541847083000903,18924.90282092619,185.13867977657972,0.00026775956284152616,0.0001535968252646822,0.013222403492907524,0.0001825624181023763
Kunkler-Rinderle-Ma,2340.6,15.257784898208508,2332.0,2325,2358,76.0,0.0,76.0,76,76,76.0,0.0,76.0,76,76,75.8,0.44721359549995715,76.0,75,76,0.2,0.447213595499958,0.0,0,1,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.2,0.447213595499958,0.0,0,1,0.0,0.0,0.0,0,0,,,,,,,,,,,45.0,,45.0,45.0,45.0,,,,,,0.9973684210526315,0.005884389414473109,1.0,0.986842105263158,1.0,2329.6,15.257784898208508,2321.0,2314,2347,98957.21257989472,40541.664474169236,117005.44742105264,54889.50338157894,140562.16110526313,30793.172500000004,14220.629447877112,26374.855,19297.4225,55140.816000000006,312124.5408696494,219454.06025565666,449965.2729051816,61421.43216280336,493716.2442636744,171146.5745000001,32636.508762076865,188818.7115,126302.32500000048,203235.1945,266346.26177999994,92452.16899935278,252969.857,172968.90925,416143.215,1633.080166368553,329.9616884191915,1558.6343271889402,1351.9974294930876,2202.3759336405533,0.0,0.0,0.0,0.0,0.0,1679.8432800000003,835.3692140664817,1282.0088000000003,1016.2784000000008,3100.0490000000004,5666.38595999999,1985.3333955647845,5847.1049999999805,3618.699999999989,8646.198799999995,0.05177595628415298,0.0003054737674179996,0.0519125683060109,0.0512295081967213,0.0519125683060109,0.00279673578353592,0.0001910074208570116,0.0027169701003086,0.0026161301542728,0.0030746234766675,0.00202543953020638,0.00015361013378047602,0.0020887259031572,0.0018056027056769,0.0021736659456587,0.48923013993409326,0.024480143285487418,0.4793787762717135,0.4619314121396947,0.5172697046677879,0.00541272381499228,0.0002546658275135485,0.0055720267938027,0.0050580880648333,0.0056051759846755,149.0,0.0,149.0,149,149,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.2,0.447213595499958,0.0,0,1,5270400.0,0.0,5270400.0,5270400.0,5270400.0,0.0,0.0,0.0,0,0,50.0,0.0,50.0,50,50,17.219659883400162,0.093694421899165,17.202536124998005,17.104432042000553,17.35618233400237,7.910440075200313,0.7403801994111523,7.923365916998591,6.935360417002812,9.005511791998288,35536.33573261042,289.2241719881596,0.00026775956284152616,0.0001674253862793301,0.021457791678231683,0.00022322443993168004
ParkSong-Composite,2952.2,76.0769347437185,2980.0,2847,3031,76.0,0.0,76.0,76,76,76.0,0.0,76.0,76,76,76.0,0.0,76.0,76,76,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,1.0,1.0,2897.2,71.01901153916465,2922.0,2801,2972,104560.76468425526,46394.06841721241,91965.2326053684,52917.87605265789,168062.23996057897,75233.0643,39867.28536508559,62873.281,51620.3485,145828.245,135554.57417386866,98939.00233481558,75390.35597148574,50586.50645026921,276840.50636852346,194230.4717,91067.42118128666,171981.17599999998,87592.02600000001,332621.775,302003.2053,139857.27797044165,240904.62475,166587.39775,506504.152,4062.8567749340086,1362.6059123999892,4293.529918901382,2098.0291170525343,5737.171312446083,203.8306,201.9339592275158,167.315,50.382,543.984,7263.8502000000035,4310.672999586097,7760.093,2895.4696000000063,13137.722000000009,36402.36931983996,15982.325236791145,40861.577399999995,10334.572199999997,51390.1875992,0.051912568306010896,0.0,0.0519125683060109,0.0519125683060109,0.0519125683060109,0.00213131317952534,0.0001792818407890561,0.0021003340846033,0.0018688506158383,0.0023203712887067,0.00130432963342434,0.0002667931578170971,0.0014303809957498,0.0008598339784456,0.0015269495673952,0.5319482446945804,0.03175506122369818,0.53013132940073,0.4954503002537527,0.580937455384197,0.004915990713315161,0.00020919112518937488,0.0048868093961097,0.004637003217185,0.0052114349674832,149.0,0.0,149.0,149,149,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,5270400.0,0.0,5270400.0,5270400.0,5270400.0,0.0,0.0,0.0,0,0,50.0,0.0,50.0,50,50,17.19979899159953,0.08015573740239257,17.240546624998387,17.089596957997855,17.280299542002467,18.018141541799558,5.58314795164013,18.40193858299972,12.3142962919992,25.7511768330005,40666.1939675959,1194.3767430944438,0.0,0.00015714746218916458,0.02783453840613586,0.00018336410587553944
RoundRobin,2338.8,10.56882207249224,2338.0,2324,2353,76.0,0.0,76.0,76,76,76.0,0.0,76.0,76,76,76.0,0.0,76.0,76,76,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,1.0,1.0,2327.8,10.56882207249224,2327.0,2313,2342,92292.03200526317,27171.47924753231,76695.29178947369,72621.65432894738,135278.60346052633,33876.903399999996,11951.049683200366,28622.7525,21933.906499999997,48850.1935,259520.3739535675,175954.5786156298,199192.9762507656,148442.66632604116,569648.1404390746,159393.3328,56878.55969469346,152627.6925,89552.0805,247897.053,266843.23459999997,118201.54386086891,220333.6835,136927.86075,445149.43675,1724.8820947465435,126.4415554194022,1642.834047004608,1622.3476405529952,1895.1873714285712,0.0,0.0,0.0,0.0,0.0,2175.017680000002,336.03052773081583,2285.6658000000007,1702.6252000000045,2488.8458,5932.950079999997,654.5754226015897,5830.3929999999955,5038.7302,6845.500399999994,0.051912568306010896,0.0,0.0519125683060109,0.0519125683060109,0.0519125683060109,0.00210042449506328,0.0010529242456306116,0.0016795255374399,0.0014761121512869,0.0039761905831554,0.001255137807377,0.00016982988853969357,0.0012222267759562,0.0010659338949605,0.0015284684274438,0.5454536173441804,0.11124599720180235,0.5076560153957667,0.4719353517347499,0.7426729597879518,0.00532364081405124,0.003404335601271526,0.0039066565493853,0.0035751993992719,0.0114038372876738,149.0,0.0,149.0,149,149,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,5270400.0,0.0,5270400.0,5270400.0,5270400.0,0.0,0.0,0.0,0,0,50.0,0.0,50.0,50,50,17.204410674799874,0.12332315574794951,17.235760707997542,17.045056209000904,17.370600916001422,8.623290058400016,0.9630073482191941,8.36494274999859,7.404284415999427,9.853168666999409,23816.851661509172,110.83090993464738,0.0,0.0009229287938479914,0.09751141589144872,0.0029840317224849745
ShortestQueue,2322.2,15.352524222420293,2330.0,2296,2333,76.0,0.0,76.0,76,76,76.0,0.0,76.0,76,76,75.8,0.44721359549995715,76.0,75,76,0.2,0.447213595499958,0.0,0,1,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.2,0.447213595499958,0.0,0,1,0.0,0.0,0.0,0,0,,,,,,,,,,,45.0,,45.0,45.0,45.0,,,,,,0.9973684210526315,0.005884389414473109,1.0,0.986842105263158,1.0,2311.2,15.352524222420293,2319.0,2285,2322,65184.340367578945,8957.638491965981,69199.07068,53384.10925,73108.90978947368,30125.596400000002,11054.344195517828,27941.666,20477.8125,47206.7865,136189.4572236468,42895.13434161404,145843.5328670327,73357.10672803801,181412.67220148383,123107.35414,27775.11852839136,119190.995,91465.41620000004,154519.218,185839.29306999999,28849.959385780032,178273.8135,150146.11959999998,226889.36875,1677.3302863439578,66.9468628673039,1667.8495926267278,1599.813935483871,1774.709330875576,0.0,0.0,0.0,0.0,0.0,1896.5432400000004,505.0258816056341,2096.530399999998,1216.0904000000005,2471.4650000000024,6148.181879999994,738.2315409188479,6039.055799999997,5437.7815999999975,7051.820399999994,0.05177595628415298,0.0003054737674179996,0.0519125683060109,0.0512295081967213,0.0519125683060109,0.00141579482936602,0.00011602695946860864,0.0013803152598388,0.0012973541482677,0.0015841377391736,0.0013220320469034,0.00015870646582767068,0.0012396508803885,0.0011988095780206,0.0015780682680631,0.4737707816351038,0.04384436651493038,0.4904653552156231,0.4246641981885411,0.5285263028087807,0.00323607456312432,6.963248957171383e-05,0.0032608357169895,0.0031367754770539,0.0033009419162447,149.0,0.0,149.0,149,149,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.2,0.447213595499958,0.0,0,1,5270400.0,0.0,5270400.0,5270400.0,5270400.0,0.0,0.0,0.0,0,0,50.0,0.0,50.0,50,50,17.16151204160051,0.05300724751872006,17.183759374998772,17.080456125000637,17.20845575000203,8.499699008000608,0.5160543765724304,8.246599582998897,8.010366916001658,9.209020375001272,7851.716325674617,58.681512610646024,0.00026775956284152616,0.00010170211408901334,0.03843128171145755,6.103556820895976e-05
