resource_occupation_mean,resource_occupation_median,resource_fairness_gini,weighted_resource_fairness,weighted_resource_fairness_status,weighted_fairness_resource_count,strategy,seed
0.0016389573358487,0.0012222267759562,0.4719353517347499,0.0036708350905301,computed,149,RoundRobin,1
0.0017313368675855,0.0012646466112629,0.4960241893508721,0.0040616757433951,computed,149,RoundRobin,2
0.0014761121512869,0.0010659338949605,0.5089795704515617,0.0035751993992719,computed,149,RoundRobin,3
0.0016795255374399,0.0011944133272616,0.5076560153957667,0.0039066565493853,computed,149,RoundRobin,4
0.0039761905831554,0.0015284684274438,0.7426729597879518,0.0114038372876738,computed,149,RoundRobin,5
0.0015841377391736,0.0015780682680631,0.4246641981885411,0.0032892150161066,computed,149,ShortestQueue,1
0.0014797125538592,0.0013741276753187,0.4330070910346293,0.0031367754770539,computed,149,ShortestQueue,2
0.0013374544456908,0.0011988095780206,0.4921909609279447,0.0031926046892269,computed,149,ShortestQueue,3
0.0013803152598388,0.0012396508803885,0.4904653552156231,0.0032608357169895,computed,149,ShortestQueue,4
0.0012973541482677,0.0012195038327261,0.5285263028087807,0.0033009419162447,computed,149,ShortestQueue,5
0.00227712835074,0.0014447032483302,0.5375933475678507,0.0052114349674832,computed,149,ParkSong-Composite,1
0.0020898815577384,0.0012597803772009,0.53013132940073,0.0048553087141078,computed,149,ParkSong-Composite,2
0.0021003340846033,0.0014303809957498,0.5156287908663713,0.004637003217185,computed,149,ParkSong-Composite,3
0.0023203712887067,0.0015269495673952,0.4954503002537527,0.0049893972716901,computed,149,ParkSong-Composite,4
0.0018688506158383,0.0008598339784456,0.580937455384197,0.0048868093961097,computed,149,ParkSong-Composite,5
0.0026663646828025,0.0021297144429265,0.5172697046677879,0.0055720267938027,computed,149,Kunkler-Rinderle-Ma,1
0.0030746234766675,0.0021736659456587,0.4619314121396947,0.0056051759846755,computed,149,Kunkler-Rinderle-Ma,2
0.0026161301542728,0.0019294886536126,0.4793787762717135,0.0050580880648333,computed,149,Kunkler-Rinderle-Ma,3
0.0029095905036282,0.0020887259031572,0.4747181313765877,0.0056028871853146,computed,149,Kunkler-Rinderle-Ma,4
0.0027169701003086,0.0018056027056769,0.5128526752146826,0.0052254410463353,computed,149,Kunkler-Rinderle-Ma,5
0.0030265599352532,0.0021208585686095,0.4807623381673714,0.0056910802221191,computed,149,Batch,1
0.0029229032884084,0.0021104916135397,0.4781901539848859,0.0054029039546023,computed,149,Batch,2
0.0028624159227592,0.0019528375455373,0.4815692945973385,0.0053144583035601,computed,149,Batch,3
0.002754106863331,0.0021706308819064,0.5073477830718597,0.0056046469654361,computed,149,Batch,4
0.0025677032933932,0.0018129709319975,0.5078887167075377,0.0051826416063891,computed,149,Batch,5
