strategy,n_events_mean,n_events_std,n_events_median,n_events_min,n_events_max,cases_admitted_mean,cases_admitted_std,cases_admitted_median,cases_admitted_min,cases_admitted_max,cases_observed_mean,cases_observed_std,cases_observed_median,cases_observed_min,cases_observed_max,fixed_routes_completed_mean,fixed_routes_completed_std,fixed_routes_completed_median,fixed_routes_completed_min,fixed_routes_completed_max,cases_completed_mean,cases_completed_std,cases_completed_median,cases_completed_min,cases_completed_max,cases_incomplete_mean,cases_incomplete_std,cases_incomplete_median,cases_incomplete_min,cases_incomplete_max,cases_deadlocked_mean,cases_deadlocked_std,cases_deadlocked_median,cases_deadlocked_min,cases_deadlocked_max,cases_cyclic_mean,cases_cyclic_std,cases_cyclic_median,cases_cyclic_min,cases_cyclic_max,cases_censored_mean,cases_censored_std,cases_censored_median,cases_censored_min,cases_censored_max,cases_active_mean,cases_active_std,cases_active_median,cases_active_min,cases_active_max,fixed_route_completion_rate_mean,fixed_route_completion_rate_std,fixed_route_completion_rate_median,fixed_route_completion_rate_min,fixed_route_completion_rate_max,completion_rate_mean,completion_rate_std,completion_rate_median,completion_rate_min,completion_rate_max,tasks_assigned_mean,tasks_assigned_std,tasks_assigned_median,tasks_assigned_min,tasks_assigned_max,cycle_time_mean_s_mean,cycle_time_mean_s_std,cycle_time_mean_s_median,cycle_time_mean_s_min,cycle_time_mean_s_max,cycle_time_median_s_mean,cycle_time_median_s_std,cycle_time_median_s_median,cycle_time_median_s_min,cycle_time_median_s_max,cycle_time_std_s_mean,cycle_time_std_s_std,cycle_time_std_s_median,cycle_time_std_s_min,cycle_time_std_s_max,cycle_time_p90_s_mean,cycle_time_p90_s_std,cycle_time_p90_s_median,cycle_time_p90_s_min,cycle_time_p90_s_max,cycle_time_p95_s_mean,cycle_time_p95_s_std,cycle_time_p95_s_median,cycle_time_p95_s_min,cycle_time_p95_s_max,waiting_time_mean_s_mean,waiting_time_mean_s_std,waiting_time_mean_s_median,waiting_time_mean_s_min,waiting_time_mean_s_max,waiting_time_median_s_mean,waiting_time_median_s_std,waiting_time_median_s_median,waiting_time_median_s_min,waiting_time_median_s_max,waiting_time_p90_s_mean,waiting_time_p90_s_std,waiting_time_p90_s_median,waiting_time_p90_s_min,waiting_time_p90_s_max,waiting_time_p95_s_mean,waiting_time_p95_s_std,waiting_time_p95_s_median,waiting_time_p95_s_min,waiting_time_p95_s_max,horizon_normalized_throughput_cases_per_hour_mean,horizon_normalized_throughput_cases_per_hour_std,horizon_normalized_throughput_cases_per_hour_median,horizon_normalized_throughput_cases_per_hour_min,horizon_normalized_throughput_cases_per_hour_max,throughput_cases_per_hour_mean,throughput_cases_per_hour_std,throughput_cases_per_hour_median,throughput_cases_per_hour_min,throughput_cases_per_hour_max,horizon_normalized_resource_occupation_mean_mean,horizon_normalized_resource_occupation_mean_std,horizon_normalized_resource_occupation_mean_median,horizon_normalized_resource_occupation_mean_min,horizon_normalized_resource_occupation_mean_max,resource_occupation_mean_mean,resource_occupation_mean_std,resource_occupation_mean_median,resource_occupation_mean_min,resource_occupation_mean_max,horizon_normalized_resource_occupation_median_mean,horizon_normalized_resource_occupation_median_std,horizon_normalized_resource_occupation_median_median,horizon_normalized_resource_occupation_median_min,horizon_normalized_resource_occupation_median_max,resource_occupation_median_mean,resource_occupation_median_std,resource_occupation_median_median,resource_occupation_median_min,resource_occupation_median_max,resource_fairness_gini_mean,resource_fairness_gini_std,resource_fairness_gini_median,resource_fairness_gini_min,resource_fairness_gini_max,weighted_resource_fairness_mean,weighted_resource_fairness_std,weighted_resource_fairness_median,weighted_resource_fairness_min,weighted_resource_fairness_max,weighted_fairness_resource_count_mean,weighted_fairness_resource_count_std,weighted_fairness_resource_count_median,weighted_fairness_resource_count_min,weighted_fairness_resource_count_max,active_cases_remaining_mean,active_cases_remaining_std,active_cases_remaining_median,active_cases_remaining_min,active_cases_remaining_max,waiting_queue_remaining_mean,waiting_queue_remaining_std,waiting_queue_remaining_median,waiting_queue_remaining_min,waiting_queue_remaining_max,drain_stopped_by_limit_mean,drain_stopped_by_limit_std,drain_stopped_by_limit_median,drain_stopped_by_limit_min,drain_stopped_by_limit_max,run_window_seconds_mean,run_window_seconds_std,run_window_seconds_median,run_window_seconds_min,run_window_seconds_max,diagnostic_cycle_guard_mean,diagnostic_cycle_guard_std,diagnostic_cycle_guard_median,diagnostic_cycle_guard_min,diagnostic_cycle_guard_max,cycle_repetition_limit_mean,cycle_repetition_limit_std,cycle_repetition_limit_median,cycle_repetition_limit_min,cycle_repetition_limit_max,engine_initialization_seconds_mean,engine_initialization_seconds_std,engine_initialization_seconds_median,engine_initialization_seconds_min,engine_initialization_seconds_max,simulation_runtime_seconds_mean,simulation_runtime_seconds_std,simulation_runtime_seconds_median,simulation_runtime_seconds_min,simulation_runtime_seconds_max,cycle_time_mean_s_ci95_half_width,waiting_time_mean_s_ci95_half_width,horizon_normalized_throughput_cases_per_hour_ci95_half_width,horizon_normalized_resource_occupation_mean_ci95_half_width,resource_fairness_gini_ci95_half_width,weighted_resource_fairness_ci95_half_width,fixed_route_completion_rate_ci95_half_width
Batch,584.6666666666666,78.29005896876903,552.0,528,674,32.0,4.358898943540674,30.0,29,37,32.0,4.358898943540674,30.0,29,37,32.0,4.358898943540674,30.0,29,37,32.0,4.358898943540674,30.0,29,37,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,584.6666666666666,78.29005896876903,552.0,528,674,7540.7247711504615,252.85598129189339,7512.758241379312,7303.014666666667,7806.401405405406,7172.511833333333,181.44094168098667,7259.365,6963.9695,7294.201,2402.853528932991,275.3923327389938,2335.5948946871217,2167.3209170597174,2705.6447750521343,10538.9668,983.1344753245505,10065.4324,9882.2144,11669.2536,11461.831899999996,963.3343697291651,11111.654199999995,10722.565899999998,12551.275599999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9090909090909087,0.39626354032188,2.727272727272727,2.636363636363636,3.363636363636364,2.9090909090909087,0.39626354032188,2.727272727272727,2.636363636363636,3.363636363636364,0.1710825698942436,0.0030929708293428674,0.1719302312184343,0.1676541475359657,0.1736633309283309,0.1710825698942436,0.0030929708293428674,0.1719302312184343,0.1676541475359657,0.1736633309283309,0.1562367424242424,0.0032187783286173185,0.1578732196969697,0.1525285227272727,0.1583084848484848,0.1562367424242424,0.0032187783286173185,0.1578732196969697,0.1525285227272727,0.1583084848484848,0.33501033007404585,0.028322111195181885,0.3415944898029774,0.3039760690939903,0.3594604313251698,0.29152095729980093,0.022442551013463447,0.2899318256663921,0.2699152085767341,0.3147158376562765,91.0,0.0,91.0,91,91,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,39600.0,0.0,39600.0,39600.0,39600.0,0.0,0.0,0.0,0,0,50.0,0.0,50.0,50,50,21.91318333299993,0.46281928263034894,21.803517750000537,21.515046165999593,22.42098608299966,1.45098494466644,0.18343683871290944,1.5187208339993958,1.2433126249998168,1.5909213750001072,628.1290787688283,0.0,0.9843732043052796,0.007683365478514311,0.07035602449633754,0.05575038732042514,0.0
Kunkler-Rinderle-Ma,586.3333333333334,83.00803173990656,552.0,526,681,32.0,4.358898943540674,30.0,29,37,32.0,4.358898943540674,30.0,29,37,32.0,4.358898943540674,30.0,29,37,32.0,4.358898943540674,30.0,29,37,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,586.3333333333334,83.00803173990656,552.0,526,681,7405.3815432539095,118.80228279974605,7386.338620689656,7297.250942405406,7532.555066666667,6939.737,629.0103882417205,7295.593,6213.467,7310.151,2282.955986985598,460.4691474237774,2133.195356202973,1916.00980834348,2799.6627964103413,10183.381633333333,702.776711920751,10274.2107,9439.6064,10836.3278,11152.253316666664,802.609260833564,10740.77435,10638.829799999996,12077.155799999997,0.802317518627451,1.3896547060653341,0.0,0.0,2.406952555882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9090909090909087,0.39626354032188,2.727272727272727,2.636363636363636,3.363636363636364,2.9090909090909087,0.39626354032188,2.727272727272727,2.636363636363636,3.363636363636364,0.16464109691157602,0.0038538129656514996,0.1630415959595959,0.1618445893458393,0.1690371054292929,0.16464109691157602,0.0038538129656514996,0.1630415959595959,0.1618445893458393,0.1690371054292929,0.14525794191919192,0.01313575544642155,0.1506373232323232,0.1302863636363636,0.1548501388888889,0.14525794191919192,0.01313575544642155,0.1506373232323232,0.1302863636363636,0.1548501388888889,0.360065871777779,0.030485048822215942,0.3594886405970725,0.3298735375007823,0.3908354372354823,0.288444224760936,0.018783622797946355,0.2909080609625926,0.268550269826094,0.3058743434941214,91.0,0.0,91.0,91,91,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,39600.0,0.0,39600.0,39600.0,39600.0,0.0,0.0,0.0,0,0,50.0,0.0,50.0,50,50,21.98548497200075,0.4457017572435769,21.898612000000867,21.589615333001348,22.468227583000044,1.3907571253330389,0.17844807598388043,1.447894875000202,1.1907380419997935,1.5336384589991212,295.12123094487674,3.4520936616482167,0.9843732043052796,0.00957340212200727,0.07572905942381661,0.04666110575567179,0.0
ParkSong-Composite,574.3333333333334,75.59320957158344,540.0,522,661,32.0,4.358898943540674,30.0,29,37,32.0,4.358898943540674,30.0,29,37,31.666666666666668,3.785938897200183,30.0,29,36,31.666666666666668,3.785938897200183,30.0,29,36,0.3333333333333333,0.5773502691896258,0.0,0,1,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.3333333333333333,0.5773502691896258,0.0,0,1,0.0,0.0,0.0,0,0,0.990990990990991,0.015604061329449323,1.0,0.972972972972973,1.0,0.990990990990991,0.015604061329449323,1.0,0.972972972972973,1.0,574.3333333333334,75.59320957158344,540.0,522,661,7396.99938569604,143.94811298880364,7405.708379310345,7248.894499999999,7536.395277777778,7066.671166666667,207.5220370625332,7135.4985,6833.48,7231.035,2043.9692275867556,205.0456039924385,1937.713832659023,1913.8592569711911,2280.3345931300523,10031.279866666666,391.2951572497453,10026.2076,9642.5455,10425.0865,10671.455199999999,457.468042794237,10802.300199999998,10162.8209,11049.2445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.878787878787879,0.34417626338183516,2.727272727272727,2.636363636363636,3.272727272727273,2.878787878787879,0.34417626338183516,2.727272727272727,2.636363636363636,3.272727272727273,0.1558215022577697,0.007870224982307751,0.1549534942279942,0.1484212633087633,0.1640897492365516,0.1558215022577697,0.007870224982307751,0.1549534942279942,0.1484212633087633,0.1640897492365516,0.14753956228956225,0.01272813609428669,0.1497876262626262,0.1338371717171717,0.1589938888888889,0.14753956228956225,0.01272813609428669,0.1497876262626262,0.1338371717171717,0.1589938888888889,0.3442947354426222,0.005193678728602707,0.3470014352215843,0.3383067732753054,0.3475759978309767,0.28498518961067837,0.023338630282452054,0.2825506008988508,0.2629592861054077,0.3094456818277766,91.0,0.0,91.0,91,91,0.0,0.0,0.0,0,0,0.3333333333333333,0.5773502691896258,0.0,0,1,0.0,0.0,0.0,0,0,39600.0,0.0,39600.0,39600.0,39600.0,0.0,0.0,0.0,0,0,50.0,0.0,50.0,50,50,21.09292369433327,0.5628283323551088,21.279855374999897,20.46041412500017,21.538501582999743,1.2997059306665808,0.22465993235587553,1.3201710419998562,1.0655136250006765,1.51343312499921,357.58693601078465,0.0,0.8549812353561309,0.019550722678510258,0.012901813192437491,0.0579763716252374,0.03876263720495005
RoundRobin,577.6666666666666,76.29110913686688,544.0,524,665,32.0,4.358898943540674,30.0,29,37,32.0,4.358898943540674,30.0,29,37,31.666666666666668,3.785938897200183,30.0,29,36,31.666666666666668,3.785938897200183,30.0,29,36,0.3333333333333333,0.5773502691896258,0.0,0,1,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.3333333333333333,0.5773502691896258,0.0,0,1,0.0,0.0,0.0,0,0,0.990990990990991,0.015604061329449323,1.0,0.972972972972973,1.0,0.990990990990991,0.015604061329449323,1.0,0.972972972972973,1.0,577.6666666666666,76.29110913686688,544.0,524,665,7499.343034355045,203.08973466358702,7418.638758620689,7349.010733333333,7730.379611111113,7170.274166666666,176.81233653533133,7231.035,6971.093,7308.6945,2341.0709606903133,157.33513130707624,2257.278263085801,2243.366337380861,2522.5682816042777,10560.902333333333,683.3289265285382,10314.5301,10034.9244,11333.2525,11524.072666666665,824.4065081591276,11347.437299999996,10802.300199999998,12422.4805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.878787878787879,0.34417626338183516,2.727272727272727,2.636363636363636,3.272727272727273,2.878787878787879,0.34417626338183516,2.727272727272727,2.636363636363636,3.272727272727273,0.07955474806397304,0.015029617284472264,0.0742324316498316,0.0679105189393939,0.0965212936026936,0.07955474806397304,0.015029617284472264,0.0742324316498316,0.0679105189393939,0.0965212936026936,0.07597630471380466,0.019792449912253488,0.0680097727272727,0.06140851010101,0.0985106313131313,0.07597630471380466,0.019792449912253488,0.0680097727272727,0.06140851010101,0.0985106313131313,0.36444275827877415,0.012216726862599612,0.3709387925447275,0.3503504076325274,0.3720390746590676,0.09810445977254144,0.011083254196303724,0.0970258049437752,0.0875999698486955,0.1096876045251536,91.0,0.0,91.0,91,91,0.0,0.0,0.0,0,0,0.3333333333333333,0.5773502691896258,0.0,0,1,0.0,0.0,0.0,0,0,39600.0,0.0,39600.0,39600.0,39600.0,0.0,0.0,0.0,0,0,50.0,0.0,50.0,50,50,20.723428624999844,0.3255644144981205,20.806047833000775,20.364514332999537,20.999723708999227,1.3053084860002855,0.2859328651461918,1.3683552500006044,0.9931137080002372,1.5544565000000148,504.5028687471847,0.0,0.8549812353561309,0.037335639089532136,0.03034803191353699,0.027532329717953177,0.03876263720495005
ShortestQueue,579.0,77.0,546.0,524,667,32.0,4.358898943540674,30.0,29,37,32.0,4.358898943540674,30.0,29,37,31.666666666666668,3.785938897200183,30.0,29,36,31.666666666666668,3.785938897200183,30.0,29,36,0.3333333333333333,0.5773502691896258,0.0,0,1,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.3333333333333333,0.5773502691896258,0.0,0,1,0.0,0.0,0.0,0,0,0.990990990990991,0.015604061329449323,1.0,0.972972972972973,1.0,0.990990990990991,0.015604061329449323,1.0,0.972972972972973,1.0,579.0,77.0,546.0,524,667,7498.758688058748,196.48213982032647,7418.638758620689,7354.995833333333,7722.641472222222,7153.857166666666,202.63087922027884,7231.035,6923.978,7306.558499999999,2349.4127699574055,144.78935952585334,2290.500405507255,2243.366337380861,2514.3715669841013,10555.479333333335,568.4884094861507,10469.4246,10034.9244,11162.089,11485.316499999999,761.3774890875692,11347.437299999996,10802.300199999998,12306.212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.878787878787879,0.34417626338183516,2.727272727272727,2.636363636363636,3.272727272727273,2.878787878787879,0.34417626338183516,2.727272727272727,2.636363636363636,3.272727272727273,0.07750572050364757,0.011542009095050166,0.0742928872053872,0.0679105189393939,0.0903137553661616,0.07750572050364757,0.011542009095050166,0.0742928872053872,0.0679105189393939,0.0903137553661616,0.0716545917508417,0.00962722088888267,0.0705514646464646,0.062626452020202,0.0817858585858585,0.0716545917508417,0.00962722088888267,0.0705514646464646,0.062626452020202,0.0817858585858585,0.3688004045220287,0.021842591316639338,0.3806668689025994,0.3435931207920641,0.3821412238714227,0.11155234645327443,0.014750192298436254,0.1051687434750988,0.1010691568051213,0.1284191390796032,91.0,0.0,91.0,91,91,0.0,0.0,0.0,0,0,0.3333333333333333,0.5773502691896258,0.0,0,1,0.0,0.0,0.0,0,0,39600.0,0.0,39600.0,39600.0,39600.0,0.0,0.0,0.0,0,0,50.0,0.0,50.0,50,50,21.10417716700067,0.5344321890759264,21.116570959000455,20.563655875001132,21.632304667000422,1.2490629303332146,0.2014616036697409,1.2506777090002288,1.0467987909996737,1.4497122909997415,488.08869321307424,0.0,0.8549812353561309,0.02867194006237942,0.054260004812014075,0.036641508944114776,0.03876263720495005
